Frequency (Hz)	Level (dB)
43.066406	-24.145037
86.132812	-17.560219
129.199219	-20.383148
172.265625	-25.186481
215.332031	-23.122225
258.398438	-19.980169
301.464844	-19.793272
344.531250	-19.213383
387.597656	-18.184490
430.664062	-19.595654
473.730469	-21.982193
516.796875	-22.529905
559.863281	-23.479153
602.929688	-25.163355
645.996094	-28.299067
689.062500	-24.909731
732.128906	-27.822573
775.195312	-29.057861
818.261719	-29.620937
861.328125	-28.346058
904.394531	-27.228165
947.460938	-27.361286
990.527344	-26.791037
1033.593750	-23.550627
1076.660156	-25.821135
1119.726562	-28.273970
1162.792969	-26.446022
1205.859375	-28.420433
1248.925781	-31.121904
1291.992188	-29.555811
1335.058594	-29.018084
1378.125000	-28.032223
1421.191406	-29.291750
1464.257812	-33.594841
1507.324219	-31.951372
1550.390625	-29.139996
1593.457031	-30.904139
1636.523438	-34.660492
1679.589844	-33.678253
1722.656250	-30.098206
1765.722656	-29.468914
1808.789062	-32.602043
1851.855469	-34.970154
1894.921875	-35.795757
1937.988281	-34.909992
1981.054688	-34.274345
2024.121094	-34.507366
2067.187500	-31.539928
2110.253906	-30.755688
2153.320312	-33.534977
2196.386719	-35.604397
2239.453125	-37.089199
2282.519531	-34.751617
2325.585938	-32.593670
2368.652344	-34.575935
2411.718750	-38.751263
2454.785156	-39.988266
2497.851562	-38.524956
2540.917969	-35.915775
2583.984375	-33.248425
2627.050781	-33.019535
2670.117188	-35.137478
2713.183594	-36.689388
2756.250000	-35.310627
2799.316406	-34.435375
2842.382812	-34.908710
2885.449219	-36.567436
2928.515625	-36.450878
2971.582031	-37.013527
3014.648438	-36.948761
3057.714844	-34.962311
3100.781250	-32.815369
3143.847656	-33.349854
3186.914062	-36.005451
3229.980469	-37.848152
3273.046875	-38.529900
3316.113281	-39.351372
3359.179688	-40.320992
3402.246094	-39.642239
3445.312500	-37.431873
3488.378906	-35.652908
3531.445312	-35.531773
3574.511719	-37.445850
3617.578125	-38.937443
3660.644531	-37.886776
3703.710938	-36.998329
3746.777344	-38.557537
3789.843750	-39.543922
3832.910156	-39.703766
3875.976562	-41.351948
3919.042969	-42.227524
3962.109375	-42.525005
4005.175781	-42.908871
4048.242188	-42.883377
4091.308594	-41.472279
4134.375000	-39.788246
4177.441406	-39.089531
4220.507812	-39.204395
4263.574219	-39.781368
4306.640625	-39.567032
4349.707031	-40.105705
4392.773438	-42.779064
4435.839844	-44.032894
4478.906250	-44.305611
4521.972656	-43.634388
4565.039062	-43.404171
4608.105469	-43.257324
4651.171875	-42.683128
4694.238281	-42.666565
4737.304688	-43.210224
4780.371094	-44.002369
4823.437500	-43.749077
4866.503906	-42.727383
4909.570312	-42.491680
4952.636719	-43.565498
4995.703125	-45.752213
5038.769531	-45.581486
5081.835938	-43.610748
5124.902344	-42.599258
5167.968750	-44.045746
5211.035156	-45.034985
5254.101562	-45.108570
5297.167969	-45.728081
5340.234375	-47.018646
5383.300781	-48.462246
5426.367188	-49.217346
5469.433594	-48.766281
5512.500000	-48.656639
5555.566406	-48.355579
5598.632812	-47.617973
5641.699219	-46.308998
5684.765625	-45.976971
5727.832031	-46.327419
5770.898438	-47.522945
5813.964844	-46.915424
5857.031250	-46.234177
5900.097656	-46.334866
5943.164062	-47.822144
5986.230469	-47.906601
6029.296875	-45.873940
6072.363281	-43.703728
6115.429688	-42.571758
6158.496094	-42.188236
6201.562500	-43.618008
6244.628906	-46.324581
6287.695312	-48.156399
6330.761719	-48.719322
6373.828125	-49.444180
6416.894531	-50.330624
6459.960938	-50.540005
6503.027344	-50.518559
6546.093750	-50.562141
6589.160156	-50.849949
6632.226562	-51.096008
6675.292969	-51.207684
6718.359375	-51.188438
6761.425781	-51.413624
6804.492188	-51.324566
6847.558594	-51.241020
6890.625000	-51.286167
6933.691406	-51.074070
6976.757812	-50.705666
7019.824219	-50.141506
7062.890625	-50.186909
7105.957031	-50.798622
7149.023438	-51.312244
7192.089844	-51.640789
7235.156250	-51.392876
7278.222656	-49.088596
7321.289062	-47.192703
7364.355469	-45.876453
7407.421875	-45.322639
7450.488281	-45.696842
7493.554688	-46.554718
7536.621094	-47.799397
7579.687500	-50.062828
7622.753906	-52.370777
7665.820312	-52.937534
7708.886719	-52.760727
7751.953125	-52.340660
7795.019531	-52.281078
7838.085938	-52.720356
7881.152344	-53.025032
7924.218750	-53.552784
7967.285156	-54.226223
8010.351562	-54.759808
8053.417969	-55.178410
8096.484375	-55.301361
8139.550781	-55.547222
8182.617188	-55.763214
8225.683594	-55.915257
8268.750000	-55.970997
8311.816406	-56.150257
8354.882812	-56.723713
8397.949219	-56.975006
8441.015625	-57.210896
8484.082031	-58.022392
8527.148438	-59.068569
8570.214844	-59.923367
8613.281250	-60.102844
8656.347656	-59.801746
8699.414062	-58.660622
8742.480469	-56.991215
8785.546875	-56.420387
8828.613281	-55.420952
8871.679688	-54.295311
8914.746094	-54.673264
8957.812500	-55.276577
9000.878906	-55.842400
9043.945312	-57.218731
9087.011719	-59.348576
9130.078125	-60.627003
9173.144531	-60.875866
9216.210938	-61.251324
9259.277344	-61.840008
9302.343750	-62.169186
9345.410156	-62.361271
9388.476562	-62.707485
9431.542969	-63.278332
9474.609375	-63.713936
9517.675781	-64.362358
9560.742188	-64.956703
9603.808594	-65.116669
9646.875000	-65.236763
9689.941406	-65.109467
9733.007812	-65.037254
9776.074219	-65.279160
9819.140625	-65.098259
