Frequency (Hz)	Level (dB)
43.066406	-23.961037
86.132812	-17.373587
129.199219	-20.283125
172.265625	-25.224197
215.332031	-23.095135
258.398438	-19.811928
301.464844	-19.395958
344.531250	-18.692919
387.597656	-17.876568
430.664062	-19.630587
473.730469	-22.239035
516.796875	-22.948839
559.863281	-23.639923
602.929688	-25.087130
645.996094	-28.025372
689.062500	-24.632326
732.128906	-27.615902
775.195312	-28.811392
818.261719	-29.414005
861.328125	-28.157040
904.394531	-27.391264
947.460938	-27.746733
990.527344	-26.808165
1033.593750	-23.535006
1076.660156	-25.846300
1119.726562	-28.147257
1162.792969	-26.325935
1205.859375	-28.406637
1248.925781	-31.024233
1291.992188	-29.261551
1335.058594	-28.710627
1378.125000	-27.651230
1421.191406	-28.860010
1464.257812	-33.287270
1507.324219	-31.665886
1550.390625	-28.842873
1593.457031	-30.722172
1636.523438	-34.639816
1679.589844	-33.748058
1722.656250	-30.096567
1765.722656	-29.428106
1808.789062	-32.598621
1851.855469	-35.091461
1894.921875	-35.992184
1937.988281	-34.941868
1981.054688	-34.168400
2024.121094	-34.419888
2067.187500	-31.305122
2110.253906	-30.521671
2153.320312	-33.358448
2196.386719	-35.373306
2239.453125	-37.066486
2282.519531	-34.754337
2325.585938	-32.510151
2368.652344	-34.466358
2411.718750	-38.732040
2454.785156	-40.032364
2497.851562	-38.574215
2540.917969	-35.998333
2583.984375	-33.282269
2627.050781	-33.055481
2670.117188	-35.218258
2713.183594	-36.801014
2756.250000	-35.302979
2799.316406	-34.345676
2842.382812	-34.812347
2885.449219	-36.605488
2928.515625	-36.551945
2971.582031	-37.107063
3014.648438	-37.115261
3057.714844	-35.039715
3100.781250	-32.765705
3143.847656	-33.318169
3186.914062	-36.072872
3229.980469	-37.965900
3273.046875	-38.616627
3316.113281	-39.400562
3359.179688	-40.432392
3402.246094	-39.784241
3445.312500	-37.578022
3488.378906	-35.878948
3531.445312	-35.831738
3574.511719	-37.752792
3617.578125	-39.103748
3660.644531	-37.941219
3703.710938	-37.009064
3746.777344	-38.641735
3789.843750	-39.727699
3832.910156	-39.924442
3875.976562	-41.546249
3919.042969	-42.345299
3962.109375	-42.605377
4005.175781	-43.155918
4048.242188	-43.161922
4091.308594	-41.515724
4134.375000	-39.667850
4177.441406	-38.871021
4220.507812	-39.024029
4263.574219	-39.941357
4306.640625	-39.706966
4349.707031	-40.176300
4392.773438	-43.120838
4435.839844	-44.536728
4478.906250	-44.766541
4521.972656	-44.173801
