Frequency (Hz)	Level (dB)
43.066406	-24.319746
86.132812	-17.652180
129.199219	-20.430206
172.265625	-25.189943
215.332031	-23.055843
258.398438	-19.800337
301.464844	-19.562309
344.531250	-19.034651
387.597656	-18.088436
430.664062	-19.619265
473.730469	-22.137699
516.796875	-22.729261
559.863281	-23.596001
602.929688	-25.270880
645.996094	-28.567621
689.062500	-25.201420
732.128906	-28.049980
775.195312	-29.197430
818.261719	-29.783220
861.328125	-28.424118
904.394531	-27.214495
947.460938	-27.346588
990.527344	-26.910288
1033.593750	-23.657379
1076.660156	-25.847097
1119.726562	-28.269585
1162.792969	-26.565981
1205.859375	-28.572960
1248.925781	-31.174908
1291.992188	-29.557236
1335.058594	-29.017416
1378.125000	-28.023232
1421.191406	-29.267023
1464.257812	-33.563347
1507.324219	-31.937346
1550.390625	-29.174803
1593.457031	-30.944702
1636.523438	-34.632412
1679.589844	-33.628651
1722.656250	-30.076441
1765.722656	-29.437759
1808.789062	-32.552235
1851.855469	-34.916145
1894.921875	-35.687054
1937.988281	-34.822056
1981.054688	-34.231892
2024.121094	-34.489086
2067.187500	-31.574707
2110.253906	-30.803589
2153.320312	-33.551212
2196.386719	-35.644596
2239.453125	-37.157673
2282.519531	-34.864281
2325.585938	-32.881607
2368.652344	-34.996021
2411.718750	-39.052521
2454.785156	-40.087948
2497.851562	-38.522739
2540.917969	-35.834850
2583.984375	-33.030949
2627.050781	-32.751717
2670.117188	-34.934467
2713.183594	-36.575672
2756.250000	-35.264259
2799.316406	-34.405228
2842.382812	-34.862343
2885.449219	-36.526016
2928.515625	-36.499447
2971.582031	-37.086559
3014.648438	-36.985130
3057.714844	-35.035496
3100.781250	-32.958801
3143.847656	-33.484608
3186.914062	-36.067158
3229.980469	-37.814686
3273.046875	-38.414703
3316.113281	-39.130955
3359.179688	-39.998867
3402.246094	-39.413502
3445.312500	-37.330593
3488.378906	-35.633953
3531.445312	-35.551971
3574.511719	-37.463802
3617.578125	-38.898289
3660.644531	-37.807968
3703.710938	-36.937141
3746.777344	-38.489277
3789.843750	-39.447609
3832.910156	-39.603039
3875.976562	-41.209129
3919.042969	-42.069679
3962.109375	-42.327549
4005.175781	-42.587494
4048.242188	-42.465157
4091.308594	-41.133678
4134.375000	-39.463604
4177.441406	-38.755836
4220.507812	-38.870472
4263.574219	-39.403290
4306.640625	-39.176620
4349.707031	-39.729362
4392.773438	-42.341198
4435.839844	-43.561333
4478.906250	-43.933521
4521.972656	-43.338623
4565.039062	-43.064285
4608.105469	-42.861526
4651.171875	-42.301323
4694.238281	-42.363758
4737.304688	-42.952396
4780.371094	-43.747047
4823.437500	-43.469578
4866.503906	-42.430496
4909.570312	-42.179638
4952.636719	-43.248402
4995.703125	-45.406586
5038.769531	-45.174084
5081.835938	-43.212952
5124.902344	-42.223198
5167.968750	-43.653339
5211.035156	-44.579731
5254.101562	-44.575092
5297.167969	-45.120644
5340.234375	-46.268555
5383.300781	-47.638058
5426.367188	-48.448448
5469.433594	-48.128323
5512.500000	-47.965729
5555.566406	-47.497345
5598.632812	-46.761990
5641.699219	-45.647087
5684.765625	-45.478687
5727.832031	-45.982479
5770.898438	-47.200146
5813.964844	-46.574589
5857.031250	-45.863800
5900.097656	-45.929501
5943.164062	-47.288559
5986.230469	-47.397991
6029.296875	-45.476898
6072.363281	-43.400513
6115.429688	-42.388271
6158.496094	-42.143837
6201.562500	-43.449162
6244.628906	-45.787605
6287.695312	-47.335945
6330.761719	-47.827366
6373.828125	-48.577316
6416.894531	-49.634510
6459.960938	-50.008888
6503.027344	-49.874756
6546.093750	-49.737625
6589.160156	-49.901733
6632.226562	-50.107094
6675.292969	-50.341045
6718.359375	-50.422363
6761.425781	-50.593426
6804.492188	-50.454655
6847.558594	-50.263927
6890.625000	-50.336823
6933.691406	-50.196198
6976.757812	-49.934086
7019.824219	-49.494133
7062.890625	-49.462448
7105.957031	-49.977810
7149.023438	-50.447426
7192.089844	-50.771931
7235.156250	-50.550819
7278.222656	-48.419979
7321.289062	-46.641712
7364.355469	-45.470257
7407.421875	-44.955761
7450.488281	-45.285721
7493.554688	-46.149323
7536.621094	-47.301239
7579.687500	-49.212151
7622.753906	-51.142212
7665.820312	-51.735348
