Frequency (Hz)	Level (dB)
43.066406	-21.714468
86.132812	-21.875212
129.199219	-24.407585
172.265625	-20.145557
215.332031	-15.956477
258.398438	-17.431576
301.464844	-18.577087
344.531250	-19.451180
387.597656	-17.363865
430.664062	-17.510117
473.730469	-19.682743
516.796875	-22.606602
559.863281	-22.631292
602.929688	-20.908588
645.996094	-22.088594
689.062500	-19.915859
732.128906	-19.165186
775.195312	-23.975288
818.261719	-25.416523
861.328125	-26.918030
904.394531	-24.874062
947.460938	-25.822832
990.527344	-28.831577
1033.593750	-29.281996
1076.660156	-29.689253
1119.726562	-30.030798
1162.792969	-30.839895
1205.859375	-28.488037
1248.925781	-28.398979
1291.992188	-31.954700
1335.058594	-29.216450
1378.125000	-26.743210
1421.191406	-28.951818
1464.257812	-28.162561
1507.324219	-28.284960
1550.390625	-29.147717
1593.457031	-30.619577
1636.523438	-29.185127
1679.589844	-32.170063
1722.656250	-32.539040
1765.722656	-33.473946
1808.789062	-29.067148
1851.855469	-28.162773
1894.921875	-32.830753
1937.988281	-34.268719
1981.054688	-34.936272
2024.121094	-32.382511
2067.187500	-30.798136
2110.253906	-32.762226
2153.320312	-28.032997
2196.386719	-27.745939
2239.453125	-33.173401
2282.519531	-35.147083
2325.585938	-36.187248
2368.652344	-37.308506
2411.718750	-35.678875
2454.785156	-33.847210
2497.851562	-34.513824
2540.917969	-36.897350
2583.984375	-39.371685
2627.050781	-40.931305
2670.117188	-40.494667
2713.183594	-37.388405
2756.250000	-34.597698
2799.316406	-35.921513
2842.382812	-39.008644
2885.449219	-37.835941
2928.515625	-37.211552
2971.582031	-39.348423
3014.648438	-41.129684
3057.714844	-40.783096
3100.781250	-40.974155
3143.847656	-41.529984
3186.914062	-41.213173
3229.980469	-40.195225
3273.046875	-39.277855
3316.113281	-39.245945
3359.179688	-39.587479
3402.246094	-40.057442
3445.312500	-40.421215
3488.378906	-40.875519
3531.445312	-41.514706
3574.511719	-41.400562
3617.578125	-39.332619
3660.644531	-36.995522
3703.710938	-37.434822
3746.777344	-39.496651
3789.843750	-40.673798
3832.910156	-42.299313
3875.976562	-44.201466
3919.042969	-44.777985
3962.109375	-44.063587
4005.175781	-44.241142
4048.242188	-45.374168
4091.308594	-45.726604
4134.375000	-45.576534
4177.441406	-46.266804
4220.507812	-46.932003
4263.574219	-45.040344
4306.640625	-44.469330
4349.707031	-46.080753
4392.773438	-47.590637
4435.839844	-48.608601
4478.906250	-49.195965
4521.972656	-49.044559
4565.039062	-48.146870
4608.105469	-48.531837
4651.171875	-49.992199
4694.238281	-50.057713
4737.304688	-49.751167
4780.371094	-50.022522
4823.437500	-49.661289
4866.503906	-49.621128
4909.570312	-50.321289
4952.636719	-51.137672
4995.703125	-50.359600
5038.769531	-48.664253
5081.835938	-48.561550
5124.902344	-50.378067
5167.968750	-52.527618
5211.035156	-54.213642
5254.101562	-55.150616
5297.167969	-55.609100
5340.234375	-56.353252
5383.300781	-56.627949
5426.367188	-56.069317
5469.433594	-55.301678
5512.500000	-54.799454
5555.566406	-54.909698
5598.632812	-54.773582
5641.699219	-53.458832
5684.765625	-53.384510
5727.832031	-55.309696
5770.898438	-55.144066
5813.964844	-52.736378
5857.031250	-52.795959
5900.097656	-55.811844
5943.164062	-58.817997
5986.230469	-59.119095
6029.296875	-58.898533
6072.363281	-58.664684
6115.429688	-57.890125
6158.496094	-58.198318
6201.562500	-59.991096
6244.628906	-61.539173
6287.695312	-62.617397
6330.761719	-62.968342
6373.828125	-62.819286
6416.894531	-62.840302
6459.960938	-63.200657
6503.027344	-63.014153
6546.093750	-63.232796
6589.160156	-63.733673
6632.226562	-64.622940
6675.292969	-64.933372
6718.359375	-64.941498
6761.425781	-65.382698
6804.492188	-65.901802
6847.558594	-65.675758
6890.625000	-65.424469
6933.691406	-65.809341
6976.757812	-66.369827
7019.824219	-66.729218
7062.890625	-66.903481
7105.957031	-67.194565
7149.023438	-67.319572
7192.089844	-67.034225
7235.156250	-66.187157
7278.222656	-64.965706
7321.289062	-64.385277
7364.355469	-64.710709
7407.421875	-65.168266
7450.488281	-65.820831
7493.554688	-67.259033
7536.621094	-68.918549
7579.687500	-69.690659
7622.753906	-70.032448
7665.820312	-70.586830
7708.886719	-71.050552
7751.953125	-71.323708
7795.019531	-71.758987
7838.085938	-72.263229
7881.152344	-72.492676
7924.218750	-72.572227
7967.285156	-72.649406
8010.351562	-72.827904
8053.417969	-73.445648
8096.484375	-73.924950
8139.550781	-74.377777
8182.617188	-74.714371
8225.683594	-74.965714
8268.750000	-75.333778
8311.816406	-75.936203
8354.882812	-76.452026
8397.949219	-76.987915
8441.015625	-77.536697
8484.082031	-78.013664
8527.148438	-78.319366
8570.214844	-78.540787
8613.281250	-78.864922
8656.347656	-79.133369
8699.414062	-79.322906
8742.480469	-79.519440
8785.546875	-79.881035
8828.613281	-80.380936
8871.679688	-80.617126
8914.746094	-80.794922
8957.812500	-81.323105
9000.878906	-81.840523
9043.945312	-82.137604
9087.011719	-82.425926
9130.078125	-82.719727
9173.144531	-82.947945
9216.210938	-83.200188
9259.277344	-83.409546
9302.343750	-83.553902
9345.410156	-83.729111
9388.476562	-83.927567
9431.542969	-84.052856
9474.609375	-84.180420
9517.675781	-84.325089
9560.742188	-84.521889
9603.808594	-84.649445
9646.875000	-84.847305
9689.941406	-85.007851
9733.007812	-85.171669
9776.074219	-85.220131
9819.140625	-85.240288
9862.207031	-85.315727
9905.273438	-85.476845
9948.339844	-85.630463
9991.406250	-85.709465
10034.472656	-85.835892
10077.539062	-85.860474
10120.605469	-85.964905
10163.671875	-86.007957
