Frequency (Hz)	Level (dB)
43.066406	-21.631943
86.132812	-21.800695
129.199219	-24.400166
172.265625	-20.128935
215.332031	-15.936546
258.398438	-17.317467
301.464844	-18.230879
344.531250	-19.037968
387.597656	-17.133211
430.664062	-17.455954
473.730469	-19.702602
516.796875	-22.736099
559.863281	-22.655899
602.929688	-20.698143
645.996094	-21.748583
689.062500	-19.566881
732.128906	-18.849058
775.195312	-23.633408
818.261719	-25.125731
861.328125	-26.687878
904.394531	-24.946371
947.460938	-25.950989
990.527344	-28.857843
1033.593750	-29.247763
1076.660156	-29.670275
1119.726562	-29.979221
1162.792969	-30.805517
1205.859375	-28.484364
1248.925781	-28.308884
1291.992188	-31.683414
1335.058594	-28.856314
1378.125000	-26.347202
1421.191406	-28.573481
1464.257812	-27.796297
1507.324219	-27.898367
1550.390625	-28.802185
1593.457031	-30.504869
1636.523438	-29.108686
1679.589844	-32.061111
1722.656250	-32.396526
1765.722656	-33.418903
1808.789062	-28.997778
1851.855469	-28.069912
1894.921875	-32.821781
1937.988281	-34.164310
1981.054688	-34.700985
2024.121094	-31.999849
2067.187500	-30.353149
2110.253906	-32.362114
2153.320312	-27.493376
2196.386719	-27.183390
2239.453125	-32.810013
2282.519531	-35.017033
2325.585938	-36.081081
2368.652344	-37.144199
2411.718750	-35.469856
2454.785156	-33.640621
2497.851562	-34.362762
2540.917969	-36.843971
2583.984375	-39.367039
2627.050781	-40.934097
2670.117188	-40.419910
2713.183594	-37.278351
2756.250000	-34.468037
2799.316406	-35.809219
2842.382812	-38.947998
2885.449219	-37.764591
2928.515625	-37.178509
2971.582031	-39.328045
3014.648438	-41.143852
3057.714844	-40.793972
3100.781250	-40.933784
3143.847656	-41.489658
3186.914062	-41.199520
3229.980469	-40.222351
3273.046875	-39.311890
3316.113281	-39.236427
3359.179688	-39.518776
3402.246094	-39.963623
3445.312500	-40.305885
3488.378906	-40.818722
3531.445312	-41.572529
3574.511719	-41.448273
3617.578125	-39.328960
3660.644531	-36.995926
3703.710938	-37.396225
3746.777344	-39.379436
3789.843750	-40.615665
3832.910156	-42.293465
3875.976562	-44.152271
3919.042969	-44.665340
3962.109375	-43.867947
4005.175781	-44.141308
4048.242188	-45.326660
4091.308594	-45.661964
4134.375000	-45.480930
4177.441406	-46.143803
4220.507812	-46.850231
4263.574219	-45.107025
4306.640625	-44.566223
4349.707031	-46.131149
4392.773438	-47.678654
4435.839844	-48.742920
4478.906250	-49.266914
4521.972656	-49.188625
4565.039062	-48.284725
4608.105469	-48.701397
4651.171875	-50.177067
4694.238281	-50.083366
4737.304688	-49.534592
4780.371094	-49.676441
4823.437500	-49.318359
4866.503906	-49.372307
4909.570312	-50.120541
4952.636719	-50.955147
4995.703125	-50.296158
5038.769531	-48.622009
5081.835938	-48.470703
5124.902344	-50.332230
5167.968750	-52.534203
5211.035156	-54.378593
5254.101562	-55.499420
5297.167969	-56.092304
5340.234375	-56.890335
5383.300781	-57.179432
5426.367188	-56.532696
5469.433594	-55.811996
5512.500000	-55.152462
5555.566406	-55.085121
5598.632812	-54.854492
5641.699219	-53.487770
5684.765625	-53.415184
5727.832031	-55.315956
5770.898438	-54.962811
5813.964844	-52.386719
5857.031250	-52.486805
