Frequency (Hz)	Level (dB)
43.066406	-24.059572
86.132812	-22.343622
129.199219	-24.637083
172.265625	-20.249561
215.332031	-15.984249
258.398438	-17.355669
301.464844	-18.388901
344.531250	-19.312386
387.597656	-17.278975
430.664062	-17.482885
473.730469	-19.781973
516.796875	-22.779448
559.863281	-22.743305
602.929688	-21.164501
645.996094	-22.412907
689.062500	-20.192408
732.128906	-19.305481
775.195312	-24.082626
818.261719	-25.604471
861.328125	-27.016191
904.394531	-24.850201
947.460938	-25.807713
990.527344	-28.885973
1033.593750	-29.386681
1076.660156	-29.693039
1119.726562	-30.022305
1162.792969	-30.915165
1205.859375	-28.548016
1248.925781	-28.430628
1291.992188	-31.955494
1335.058594	-29.213514
1378.125000	-26.742872
1421.191406	-28.962404
1464.257812	-28.168810
1507.324219	-28.255276
1550.390625	-29.113840
1593.457031	-30.510572
1636.523438	-29.025515
1679.589844	-32.049442
1722.656250	-32.496681
1765.722656	-33.382282
1808.789062	-28.976772
1851.855469	-28.085949
1894.921875	-32.698540
1937.988281	-34.117245
1981.054688	-34.840687
2024.121094	-32.333527
2067.187500	-30.766321
2110.253906	-32.726334
2153.320312	-28.064537
2196.386719	-27.821630
2239.453125	-33.254673
2282.519531	-35.154121
2325.585938	-36.203014
2368.652344	-37.396553
2411.718750	-35.812305
2454.785156	-33.942047
2497.851562	-34.477077
2540.917969	-36.624065
2583.984375	-38.875721
2627.050781	-40.333904
2670.117188	-40.030190
2713.183594	-37.174515
2756.250000	-34.479004
2799.316406	-35.783356
2842.382812	-38.742405
2885.449219	-37.590126
2928.515625	-37.004913
2971.582031	-39.116463
3014.648438	-40.799576
3057.714844	-40.385319
3100.781250	-40.549999
3143.847656	-41.153687
3186.914062	-40.905075
3229.980469	-39.886322
3273.046875	-38.948231
3316.113281	-38.849701
3359.179688	-39.142731
3402.246094	-39.640343
3445.312500	-40.020195
3488.378906	-40.485287
3531.445312	-41.066887
3574.511719	-40.912498
3617.578125	-38.991608
3660.644531	-36.744373
3703.710938	-37.200050
3746.777344	-39.214886
3789.843750	-40.294094
3832.910156	-41.733067
3875.976562	-43.357578
3919.042969	-43.931778
3962.109375	-43.338154
4005.175781	-43.429611
4048.242188	-44.358727
4091.308594	-44.622784
4134.375000	-44.350323
4177.441406	-44.991837
4220.507812	-45.676113
4263.574219	-43.859852
4306.640625	-43.194626
4349.707031	-44.602734
4392.773438	-45.892658
4435.839844	-46.774426
4478.906250	-47.399998
4521.972656	-47.333031
4565.039062	-46.549992
4608.105469	-46.809132
4651.171875	-48.001335
4694.238281	-48.308052
4737.304688	-48.187828
4780.371094	-48.397125
4823.437500	-47.872452
4866.503906	-47.607342
4909.570312	-48.133114
4952.636719	-48.825581
4995.703125	-48.230492
5038.769531	-46.840828
5081.835938	-46.820690
5124.902344	-48.352074
5167.968750	-50.072842
5211.035156	-51.329235
5254.101562	-51.714714
5297.167969	-51.801384
5340.234375	-52.291901
5383.300781	-52.718472
5426.367188	-52.331467
5469.433594	-51.588459
5512.500000	-51.080845
5555.566406	-50.777946
5598.632812	-50.571667
5641.699219	-50.039963
5684.765625	-50.144066
5727.832031	-51.766418
5770.898438	-51.837250
5813.964844	-50.097057
5857.031250	-50.078754
5900.097656	-52.297413
5943.164062	-53.758099
5986.230469	-53.652508
6029.296875	-53.653423
6072.363281	-54.104595
6115.429688	-53.860111
6158.496094	-53.758812
6201.562500	-54.347153
6244.628906	-55.275295
6287.695312	-55.510342
6330.761719	-55.430161
6373.828125	-55.236191
6416.894531	-55.926422
6459.960938	-56.562534
6503.027344	-56.446514
6546.093750	-56.169548
6589.160156	-55.827976
6632.226562	-56.121704
6675.292969	-56.800228
6718.359375	-56.788429
6761.425781	-56.832752
6804.492188	-56.669094
6847.558594	-56.416607
6890.625000	-56.069344
6933.691406	-55.973129
6976.757812	-55.914200
7019.824219	-55.659954
7062.890625	-55.187851
7105.957031	-54.519356
7149.023438	-55.071865
7192.089844	-54.565521
7235.156250	-54.402893
7278.222656	-54.538891
7321.289062	-55.914734
7364.355469	-56.007759
7407.421875	-55.544689
7450.488281	-55.944859
7493.554688	-56.309650
7536.621094	-57.318378
7579.687500	-57.564358
7622.753906	-57.269325
7665.820312	-57.424252
7708.886719	-58.132580
7751.953125	-58.306316
7795.019531	-56.737804
7838.085938	-57.689426
7881.152344	-59.654659
