Frequency (Hz)	Level (dB)
43.066406	-33.363728
86.132812	-23.609369
129.199219	-20.754128
172.265625	-19.995363
215.332031	-17.873430
258.398438	-18.486771
301.464844	-20.675776
344.531250	-22.963085
387.597656	-20.663996
430.664062	-16.760008
473.730469	-18.598307
516.796875	-21.282581
559.863281	-23.532873
602.929688	-24.052265
645.996094	-25.581953
689.062500	-26.865406
732.128906	-29.492802
775.195312	-29.202105
818.261719	-30.193016
861.328125	-27.938913
904.394531	-28.216410
947.460938	-31.103336
990.527344	-27.026852
1033.593750	-29.585550
1076.660156	-32.202362
1119.726562	-33.568043
1162.792969	-31.402987
1205.859375	-31.879641
1248.925781	-35.113159
1291.992188	-30.914753
1335.058594	-28.675816
1378.125000	-33.293716
1421.191406	-34.813244
1464.257812	-31.010542
1507.324219	-30.723042
1550.390625	-33.333282
1593.457031	-33.833889
1636.523438	-34.145813
1679.589844	-34.598820
1722.656250	-32.366459
1765.722656	-29.606842
1808.789062	-33.525124
1851.855469	-39.755344
1894.921875	-40.635632
1937.988281	-35.966084
1981.054688	-32.962536
2024.121094	-34.895065
2067.187500	-36.561432
2110.253906	-35.227337
2153.320312	-35.292442
2196.386719	-34.718227
2239.453125	-35.507790
2282.519531	-37.406288
2325.585938	-35.397285
2368.652344	-33.076328
2411.718750	-33.622231
2454.785156	-33.934509
2497.851562	-34.741409
2540.917969	-36.778564
2583.984375	-33.997169
2627.050781	-30.641554
2670.117188	-30.692490
2713.183594	-34.271095
2756.250000	-37.109154
2799.316406	-37.644566
2842.382812	-37.986160
2885.449219	-36.363041
2928.515625	-33.075447
2971.582031	-31.721113
3014.648438	-34.506416
3057.714844	-36.210117
3100.781250	-34.125828
3143.847656	-33.325821
3186.914062	-33.731445
3229.980469	-34.623531
3273.046875	-33.873325
3316.113281	-32.935860
3359.179688	-33.446987
3402.246094	-33.361469
3445.312500	-31.416843
3488.378906	-29.105013
3531.445312	-27.267658
3574.511719	-27.816513
3617.578125	-30.623154
3660.644531	-31.951794
3703.710938	-33.164867
3746.777344	-34.848660
3789.843750	-35.360256
3832.910156	-34.966068
3875.976562	-34.033504
3919.042969	-31.491570
3962.109375	-30.170404
4005.175781	-31.641054
4048.242188	-33.774548
4091.308594	-33.275124
4134.375000	-33.167767
4177.441406	-34.846172
4220.507812	-36.271233
4263.574219	-37.601101
4306.640625	-37.811031
4349.707031	-37.123535
4392.773438	-36.361298
4435.839844	-36.408916
4478.906250	-37.329678
4521.972656	-38.405693
4565.039062	-38.126274
4608.105469	-37.355270
4651.171875	-37.068565
4694.238281	-36.484207
4737.304688	-36.137127
4780.371094	-36.352356
4823.437500	-36.719585
4866.503906	-36.483181
4909.570312	-36.479332
4952.636719	-37.494926
4995.703125	-38.355412
5038.769531	-38.900208
5081.835938	-39.531120
5124.902344	-39.739365
5167.968750	-39.326668
5211.035156	-38.346405
5254.101562	-37.454456
5297.167969	-37.179249
5340.234375	-37.359737
5383.300781	-37.722160
5426.367188	-38.469231
5469.433594	-39.455257
5512.500000	-40.124149
5555.566406	-40.122578
5598.632812	-40.044495
5641.699219	-39.846066
5684.765625	-39.535564
5727.832031	-39.430630
5770.898438	-39.373035
5813.964844	-39.284313
5857.031250	-38.700577
5900.097656	-37.863808
5943.164062	-37.746864
5986.230469	-38.661995
6029.296875	-40.117188
6072.363281	-41.352642
6115.429688	-42.031940
6158.496094	-42.215595
6201.562500	-42.272446
6244.628906	-42.230389
6287.695312	-42.514694
6330.761719	-42.958267
6373.828125	-43.475796
6416.894531	-43.615326
6459.960938	-43.505077
6503.027344	-43.677032
6546.093750	-43.910843
6589.160156	-44.586407
6632.226562	-45.508934
6675.292969	-46.040264
6718.359375	-46.333027
6761.425781	-46.505657
6804.492188	-46.490311
6847.558594	-46.693562
6890.625000	-46.632198
6933.691406	-46.085159
6976.757812	-45.893517
7019.824219	-45.693050
7062.890625	-45.941685
7105.957031	-46.695789
7149.023438	-47.123024
7192.089844	-47.634171
7235.156250	-48.416523
7278.222656	-49.358097
7321.289062	-49.844032
7364.355469	-49.850529
7407.421875	-49.895161
7450.488281	-50.137470
7493.554688	-50.548534
7536.621094	-50.893604
7579.687500	-51.279972
7622.753906	-51.535053
7665.820312	-51.803806
7708.886719	-52.265198
7751.953125	-52.791569
7795.019531	-53.248676
7838.085938	-53.154057
7881.152344	-52.702080
7924.218750	-52.298187
7967.285156	-52.267963
8010.351562	-52.327469
8053.417969	-53.561790
8096.484375	-54.792858
8139.550781	-55.289135
8182.617188	-55.645634
8225.683594	-56.001835
8268.750000	-56.417648
8311.816406	-56.864243
8354.882812	-57.155262
8397.949219	-57.367146
8441.015625	-57.970524
8484.082031	-58.572895
8527.148438	-58.764679
8570.214844	-59.024658
8613.281250	-59.432671
8656.347656	-59.622070
8699.414062	-59.436138
8742.480469	-59.585587
8785.546875	-59.578629
8828.613281	-59.756947
8871.679688	-60.087261
8914.746094	-60.420044
8957.812500	-61.013004
9000.878906	-62.266109
9043.945312	-63.549809
9087.011719	-64.164055
9130.078125	-64.564850
9173.144531	-64.585976
9216.210938	-64.437202
9259.277344	-64.200111
9302.343750	-64.306496
9345.410156	-64.390572
9388.476562	-64.157494
9431.542969	-64.575790
9474.609375	-65.304909
9517.675781	-65.729408
9560.742188	-66.652435
9603.808594	-67.740601
9646.875000	-68.454735
9689.941406	-68.814064
9733.007812	-69.053215
9776.074219	-69.043381
9819.140625	-68.708038
9862.207031	-68.260231
9905.273438	-68.268837
9948.339844	-68.680435
9991.406250	-69.166039
10034.472656	-69.567673
10077.539062	-70.221619
10120.605469	-71.248032
10163.671875	-72.092438
10206.738281	-73.106934
10249.804688	-73.887985
10292.871094	-74.022552
10335.937500	-74.028656
10379.003906	-74.175858
10422.070312	-74.189003
10465.136719	-74.288727
10508.203125	-74.178551
10551.269531	-74.137146
10594.335938	-74.424286
10637.402344	-74.938347
10680.468750	-75.272408
10723.535156	-75.836571
10766.601562	-76.788422
10809.667969	-77.598404
10852.734375	-78.163773
10895.800781	-78.351952
10938.867188	-78.420929
10981.933594	-78.930016
11025.000000	-79.243172
11068.066406	-79.054550
11111.132812	-78.750656
11154.199219	-78.352371
11197.265625	-78.270813
11240.332031	-77.898659
11283.398438	-78.327827
11326.464844	-79.016960
11369.531250	-79.299393
11412.597656	-80.237801
11455.664062	-81.385338
11498.730469	-82.130249
11541.796875	-82.524055
11584.863281	-82.540581
11627.929688	-82.541168
11670.996094	-82.358353
11714.062500	-81.350586
11757.128906	-80.543259
11800.195312	-80.381844
11843.261719	-80.285576
11886.328125	-80.784477
11929.394531	-81.137688
11972.460938	-81.734566
12015.527344	-82.721535
