Frequency (Hz)	Level (dB)
43.066406	-33.260067
86.132812	-23.698305
129.199219	-20.786644
172.265625	-19.939590
215.332031	-17.823837
258.398438	-18.338371
301.464844	-20.347580
344.531250	-22.597816
387.597656	-20.612320
430.664062	-17.003778
473.730469	-18.959812
516.796875	-21.743349
559.863281	-23.608681
602.929688	-23.881905
645.996094	-25.170614
689.062500	-26.478884
732.128906	-29.262249
775.195312	-28.927395
818.261719	-29.955650
861.328125	-27.710699
904.394531	-28.087183
947.460938	-31.072178
990.527344	-26.892647
1033.593750	-29.484039
1076.660156	-32.197212
1119.726562	-33.480392
1162.792969	-31.340054
1205.859375	-31.876253
1248.925781	-34.992989
1291.992188	-30.621674
1335.058594	-28.393032
1378.125000	-32.999763
1421.191406	-34.426529
1464.257812	-30.588144
1507.324219	-30.279093
1550.390625	-33.001961
1593.457031	-33.608200
1636.523438	-33.966904
1679.589844	-34.470013
1722.656250	-32.247559
1765.722656	-29.459745
1808.789062	-33.412598
1851.855469	-39.793102
1894.921875	-40.676773
1937.988281	-35.823402
1981.054688	-32.695633
2024.121094	-34.557167
2067.187500	-36.181263
2110.253906	-34.873337
2153.320312	-34.924255
2196.386719	-34.343647
2239.453125	-35.197010
2282.519531	-37.122814
2325.585938	-35.068577
2368.652344	-32.633400
2411.718750	-33.183475
2454.785156	-33.613899
2497.851562	-34.550980
2540.917969	-36.697571
2583.984375	-33.901279
2627.050781	-30.514969
2670.117188	-30.554014
2713.183594	-34.161697
2756.250000	-36.974777
2799.316406	-37.483612
2842.382812	-37.831303
2885.449219	-36.213276
2928.515625	-32.860168
2971.582031	-31.463993
3014.648438	-34.334808
3057.714844	-36.145031
3100.781250	-34.069740
3143.847656	-33.296352
3186.914062	-33.550426
3229.980469	-34.351753
3273.046875	-33.595051
3316.113281	-32.731373
3359.179688	-33.326523
3402.246094	-33.392380
3445.312500	-31.469551
3488.378906	-29.301184
3531.445312	-27.756161
3574.511719	-28.513361
3617.578125	-30.996649
3660.644531	-32.014782
3703.710938	-33.114277
3746.777344	-34.600204
3789.843750	-35.127724
3832.910156	-34.748730
3875.976562	-33.634972
3919.042969	-30.936501
3962.109375	-29.712002
4005.175781	-31.473200
4048.242188	-33.629551
4091.308594	-33.082428
4134.375000	-32.951134
4177.441406	-34.465019
4220.507812	-35.863613
4263.574219	-37.433456
4306.640625	-37.608124
4349.707031	-36.792889
4392.773438	-36.096043
4435.839844	-36.167931
4478.906250	-37.006378
4521.972656	-38.143993
4565.039062	-37.857792
4608.105469	-37.025261
4651.171875	-36.714062
4694.238281	-36.120739
4737.304688	-35.676403
4780.371094	-35.844795
4823.437500	-36.249290
4866.503906	-36.084846
4909.570312	-36.098270
4952.636719	-37.054863
4995.703125	-37.878784
5038.769531	-38.496593
5081.835938	-39.107975
5124.902344	-39.304222
5167.968750	-38.763531
5211.035156	-37.556103
5254.101562	-36.503208
5297.167969	-36.291828
5340.234375	-36.454899
5383.300781	-36.760563
5426.367188	-37.495987
5469.433594	-38.646317
5512.500000	-39.560307
5555.566406	-39.568676
5598.632812	-39.450550
5641.699219	-39.364578
5684.765625	-39.063011
5727.832031	-38.855446
5770.898438	-38.617699
5813.964844	-38.414928
5857.031250	-37.929359
5900.097656	-37.156391
5943.164062	-37.054642
5986.230469	-38.281185
6029.296875	-40.108685
6072.363281	-41.380714
6115.429688	-42.042618
6158.496094	-42.314209
6201.562500	-42.725506
6244.628906	-43.575695
6287.695312	-44.300938
6330.761719	-44.751797
6373.828125	-45.226826
6416.894531	-45.347855
6459.960938	-44.559414
6503.027344	-43.664394
6546.093750	-43.575962
6589.160156	-44.217239
6632.226562	-45.199326
6675.292969	-45.815327
6718.359375	-45.999008
6761.425781	-45.988716
6804.492188	-45.937084
6847.558594	-46.262150
6890.625000	-46.273251
6933.691406	-45.792686
6976.757812	-45.646938
7019.824219	-45.448200
7062.890625	-45.626976
7105.957031	-46.383751
7149.023438	-46.879547
7192.089844	-47.247761
7235.156250	-47.804207
7278.222656	-48.620224
7321.289062	-48.999546
7364.355469	-48.872868
7407.421875	-48.862064
7450.488281	-49.047806
7493.554688	-49.459347
7536.621094	-49.659065
7579.687500	-49.759983
7622.753906	-49.956951
7665.820312	-50.202255
7708.886719	-50.485336
7751.953125	-50.890385
7795.019531	-51.018944
7838.085938	-50.530415
7881.152344	-49.936104
7924.218750	-49.648914
7967.285156	-49.753361
8010.351562	-49.921535
8053.417969	-50.728695
8096.484375	-51.458725
8139.550781	-51.738850
8182.617188	-51.915188
8225.683594	-52.503853
8268.750000	-53.132053
8311.816406	-53.125042
8354.882812	-53.107109
8397.949219	-53.755104
8441.015625	-54.496376
8484.082031	-54.866055
8527.148438	-55.078930
8570.214844	-55.298477
8613.281250	-55.722950
8656.347656	-55.998280
8699.414062	-55.906967
8742.480469	-56.013336
8785.546875	-56.235435
8828.613281	-55.847221
8871.679688	-55.617275
8914.746094	-55.786053
8957.812500	-55.762566
9000.878906	-56.120983
9043.945312	-56.226631
9087.011719	-56.396942
9130.078125	-57.074203
9173.144531	-57.965015
9216.210938	-58.151905
9259.277344	-57.743553
9302.343750	-57.353874
9345.410156	-57.296795
9388.476562	-57.121109
9431.542969	-57.434650
9474.609375	-57.692863
9517.675781	-57.558441
9560.742188	-57.997639
9603.808594	-58.196949
9646.875000	-58.189003
9689.941406	-58.573193
9733.007812	-58.860580
9776.074219	-58.979729
9819.140625	-58.931236
9862.207031	-58.661289
9905.273438	-58.872952
9948.339844	-59.198540
9991.406250	-58.301868
10034.472656	-58.622917
10077.539062	-59.258499
10120.605469	-59.244835
10163.671875	-58.854565
10206.738281	-58.631462
10249.804688	-59.356426
10292.871094	-59.205341
10335.937500	-59.572266
10379.003906	-59.530270
10422.070312	-59.414970
10465.136719	-59.868137
10508.203125	-59.593899
10551.269531	-59.210911
10594.335938	-59.052780
10637.402344	-59.081482
10680.468750	-59.843235
10723.535156	-60.181160
10766.601562	-59.937077
10809.667969	-59.805035
10852.734375	-59.154690
10895.800781	-58.420578
10938.867188	-58.353657
10981.933594	-58.728355
11025.000000	-58.692669
11068.066406	-58.532524
11111.132812	-58.573879
11154.199219	-59.360046
11197.265625	-59.208218
11240.332031	-59.204655
11283.398438	-59.723755
11326.464844	-60.192669
11369.531250	-60.006474
11412.597656	-59.779236
11455.664062	-59.862362
11498.730469	-59.508053
11541.796875	-58.981266
11584.863281	-58.852627
11627.929688	-59.086884
11670.996094	-59.196217
11714.062500	-59.514828
11757.128906	-59.820957
11800.195312	-59.821884
11843.261719	-60.583347
11886.328125	-60.735806
