Frequency (Hz)	Level (dB)
43.066406	-34.463512
86.132812	-23.813440
129.199219	-20.880915
172.265625	-20.099321
215.332031	-17.845652
258.398438	-18.339748
301.464844	-20.442730
344.531250	-22.804111
387.597656	-20.631615
430.664062	-16.807880
473.730469	-18.770899
516.796875	-21.582218
559.863281	-23.636030
602.929688	-24.174387
645.996094	-25.875933
689.062500	-27.164165
732.128906	-29.645645
775.195312	-29.349321
818.261719	-30.372499
861.328125	-28.012487
904.394531	-28.249065
947.460938	-31.167053
990.527344	-27.145346
1033.593750	-29.684868
1076.660156	-32.191807
1119.726562	-33.560883
1162.792969	-31.544928
1205.859375	-32.011574
1248.925781	-35.153637
1291.992188	-30.923737
1335.058594	-28.671099
1378.125000	-33.282185
1421.191406	-34.791153
1464.257812	-30.964464
1507.324219	-30.659737
1550.390625	-33.317043
1593.457031	-33.834724
1636.523438	-34.101048
1679.589844	-34.540718
1722.656250	-32.345051
1765.722656	-29.570459
1808.789062	-33.463966
1851.855469	-39.633995
1894.921875	-40.444206
1937.988281	-35.869984
1981.054688	-32.906731
2024.121094	-34.824398
2067.187500	-36.493851
2110.253906	-35.191521
2153.320312	-35.262314
2196.386719	-34.740093
2239.453125	-35.574425
2282.519531	-37.482121
2325.585938	-35.711933
2368.652344	-33.614246
2411.718750	-34.124523
2454.785156	-34.201870
2497.851562	-34.843838
2540.917969	-36.637615
2583.984375	-33.690502
2627.050781	-30.335735
2670.117188	-30.482174
2713.183594	-34.141994
2756.250000	-37.002991
2799.316406	-37.544666
2842.382812	-37.882492
2885.449219	-36.325062
2928.515625	-33.202141
2971.582031	-31.883188
3014.648438	-34.559322
3057.714844	-36.187572
3100.781250	-34.159008
3143.847656	-33.377106
3186.914062	-33.773327
3229.980469	-34.592251
3273.046875	-33.730057
3316.113281	-32.683861
3359.179688	-33.109394
3402.246094	-33.129742
3445.312500	-31.305166
3488.378906	-29.077335
3531.445312	-27.298283
3574.511719	-27.889290
3617.578125	-30.664495
3660.644531	-31.854240
3703.710938	-33.042587
3746.777344	-34.774002
3789.843750	-35.317291
3832.910156	-34.960625
3875.976562	-34.048634
3919.042969	-31.501125
3962.109375	-30.106030
4005.175781	-31.418625
4048.242188	-33.392742
4091.308594	-32.946976
4134.375000	-32.893822
4177.441406	-34.539825
4220.507812	-35.946667
4263.574219	-37.245396
4306.640625	-37.417236
4349.707031	-36.764126
4392.773438	-36.049358
4435.839844	-36.095726
4478.906250	-37.087410
4521.972656	-38.215168
4565.039062	-37.948101
4608.105469	-37.194187
4651.171875	-36.929108
4694.238281	-36.411755
4737.304688	-36.100697
4780.371094	-36.328823
4823.437500	-36.682690
4866.503906	-36.434898
4909.570312	-36.464172
4952.636719	-37.509293
4995.703125	-38.413250
5038.769531	-38.945892
5081.835938	-39.466663
5124.902344	-39.610306
5167.968750	-39.236752
5211.035156	-38.286480
5254.101562	-37.379246
5297.167969	-37.074074
5340.234375	-37.217796
5383.300781	-37.608162
5426.367188	-38.357624
5469.433594	-39.340309
5512.500000	-40.014896
5555.566406	-39.938103
5598.632812	-39.822216
5641.699219	-39.648483
5684.765625	-39.419285
5727.832031	-39.428917
5770.898438	-39.411850
5813.964844	-39.274086
5857.031250	-38.673260
5900.097656	-37.846256
5943.164062	-37.726063
5986.230469	-38.619450
6029.296875	-39.995548
6072.363281	-41.161457
6115.429688	-41.877422
6158.496094	-42.121983
6201.562500	-42.183327
6244.628906	-42.099300
6287.695312	-42.309830
6330.761719	-42.685520
6373.828125	-43.181061
6416.894531	-43.425049
6459.960938	-43.388466
6503.027344	-43.544907
6546.093750	-43.711201
6589.160156	-44.323223
6632.226562	-45.169228
6675.292969	-45.789700
6718.359375	-46.147377
6761.425781	-46.282452
6804.492188	-46.222588
6847.558594	-46.372574
6890.625000	-46.413013
6933.691406	-46.056843
6976.757812	-45.940887
7019.824219	-45.685760
7062.890625	-45.752728
7105.957031	-46.356853
7149.023438	-46.851952
7192.089844	-47.385777
7235.156250	-48.048321
7278.222656	-48.827736
7321.289062	-49.259468
7364.355469	-49.266808
7407.421875	-49.387486
7450.488281	-49.696728
7493.554688	-49.901279
7536.621094	-50.248554
7579.687500	-50.603485
7622.753906	-50.707996
7665.820312	-50.920101
7708.886719	-51.314453
7751.953125	-51.763344
7795.019531	-51.819946
7838.085938	-51.881981
7881.152344	-51.735455
7924.218750	-51.532372
7967.285156	-51.457684
8010.351562	-51.320629
8053.417969	-52.253448
8096.484375	-53.230045
8139.550781	-53.715214
8182.617188	-53.950176
8225.683594	-54.094727
8268.750000	-53.908447
8311.816406	-54.023838
8354.882812	-54.499290
8397.949219	-53.994717
8441.015625	-54.648506
8484.082031	-54.921482
8527.148438	-55.185120
8570.214844	-55.064354
8613.281250	-55.299355
8656.347656	-55.697121
8699.414062	-56.123058
8742.480469	-56.002258
8785.546875	-55.372265
8828.613281	-55.395489
8871.679688	-56.581749
8914.746094	-57.196033
8957.812500	-57.363190
9000.878906	-56.422688
9043.945312	-57.833191
9087.011719	-58.279186
9130.078125	-59.003448
9173.144531	-59.621403
9216.210938	-59.453571
9259.277344	-59.416454
9302.343750	-60.189362
9345.410156	-59.328766
9388.476562	-57.930637
9431.542969	-58.424633
9474.609375	-59.238892
9517.675781	-59.745583
9560.742188	-59.448906
9603.808594	-58.708652
9646.875000	-59.929375
9689.941406	-60.695511
9733.007812	-61.255356
9776.074219	-61.109589
9819.140625	-61.316238
9862.207031	-61.916004
9905.273438	-62.281113
9948.339844	-61.996311
9991.406250	-60.445107
10034.472656	-61.415432
10077.539062	-63.331661
10120.605469	-63.792656
10163.671875	-62.938591
10206.738281	-62.967762
10249.804688	-64.247498
10292.871094	-64.355804
10335.937500	-65.150635
10379.003906	-65.165344
10422.070312	-64.635292
10465.136719	-65.570297
10508.203125	-66.166649
10551.269531	-65.227722
10594.335938	-63.602734
10637.402344	-64.822983
10680.468750	-65.960304
10723.535156	-65.076668
10766.601562	-61.975670
10809.667969	-61.107620
10852.734375	-65.346359
