Frequency (Hz)	Level (dB)
43.066406	-31.757341
86.132812	-23.288776
129.199219	-22.118210
172.265625	-22.231701
215.332031	-21.438623
258.398438	-22.284990
301.464844	-25.186531
344.531250	-28.358728
387.597656	-29.185390
430.664062	-26.638615
473.730469	-26.336203
516.796875	-26.367321
559.863281	-27.625082
602.929688	-27.027319
645.996094	-24.154327
689.062500	-25.150499
732.128906	-29.554499
775.195312	-26.532753
818.261719	-26.592209
861.328125	-26.173201
904.394531	-26.479334
947.460938	-27.905018
990.527344	-26.211985
1033.593750	-27.397541
1076.660156	-28.297874
1119.726562	-28.626154
1162.792969	-28.820869
1205.859375	-30.158226
1248.925781	-30.093708
1291.992188	-24.133587
1335.058594	-21.984558
1378.125000	-27.447950
1421.191406	-34.826759
1464.257812	-34.878242
1507.324219	-34.339546
1550.390625	-32.355663
1593.457031	-31.350136
1636.523438	-33.962509
1679.589844	-32.150471
1722.656250	-32.238480
1765.722656	-32.442036
1808.789062	-37.481308
1851.855469	-40.307301
1894.921875	-39.730350
1937.988281	-38.142033
1981.054688	-34.114170
2024.121094	-34.547295
2067.187500	-38.002018
2110.253906	-37.801239
2153.320312	-37.486523
2196.386719	-36.104149
2239.453125	-37.646130
2282.519531	-40.042103
2325.585938	-39.848785
2368.652344	-39.318848
2411.718750	-39.622341
2454.785156	-39.035614
2497.851562	-38.662727
2540.917969	-39.540871
2583.984375	-41.493626
2627.050781	-39.625031
2670.117188	-36.711090
2713.183594	-37.064392
2756.250000	-40.995819
2799.316406	-43.609711
2842.382812	-43.445702
2885.449219	-43.591686
2928.515625	-43.721928
2971.582031	-42.299290
3014.648438	-41.462421
3057.714844	-43.717716
3100.781250	-46.077969
3143.847656	-44.414051
3186.914062	-42.095776
3229.980469	-42.686096
3273.046875	-45.381424
3316.113281	-45.109192
3359.179688	-42.748623
3402.246094	-42.237732
3445.312500	-43.234142
3488.378906	-44.106068
3531.445312	-42.928917
3574.511719	-42.743237
3617.578125	-43.607853
3660.644531	-44.213955
3703.710938	-44.412952
3746.777344	-45.377579
3789.843750	-46.433903
3832.910156	-46.030418
3875.976562	-44.351246
3919.042969	-45.753510
3962.109375	-44.690304
4005.175781	-42.823868
4048.242188	-43.520599
4091.308594	-46.508934
4134.375000	-48.101707
4177.441406	-48.493435
4220.507812	-47.399265
4263.574219	-46.256050
4306.640625	-46.509220
4349.707031	-47.299324
4392.773438	-48.657089
4435.839844	-48.522099
4478.906250	-48.082020
4521.972656	-48.127834
4565.039062	-48.920483
4608.105469	-50.188786
4651.171875	-50.602543
4694.238281	-50.524284
4737.304688	-48.851482
4780.371094	-48.901001
4823.437500	-50.130093
4866.503906	-50.640598
4909.570312	-49.551476
4952.636719	-49.950066
4995.703125	-48.991879
5038.769531	-47.839134
5081.835938	-49.739548
5124.902344	-52.444290
5167.968750	-52.721718
5211.035156	-52.780525
5254.101562	-52.121571
5297.167969	-50.867405
5340.234375	-50.130348
5383.300781	-50.887375
5426.367188	-53.710896
5469.433594	-53.860977
5512.500000	-51.294090
5555.566406	-50.937485
5598.632812	-52.468330
5641.699219	-52.305038
5684.765625	-52.539326
5727.832031	-53.170387
5770.898438	-52.836769
5813.964844	-51.828449
5857.031250	-52.123451
5900.097656	-52.441132
5943.164062	-52.711246
5986.230469	-51.820065
6029.296875	-49.355145
6072.363281	-50.661865
6115.429688	-53.457924
6158.496094	-54.708820
6201.562500	-54.808979
6244.628906	-53.494713
6287.695312	-53.875156
6330.761719	-54.505878
6373.828125	-54.279358
6416.894531	-54.652607
6459.960938	-55.675571
6503.027344	-55.482143
6546.093750	-55.036400
6589.160156	-56.005367
6632.226562	-56.334015
6675.292969	-56.342281
6718.359375	-55.763420
6761.425781	-56.060429
6804.492188	-56.814079
6847.558594	-57.140930
6890.625000	-56.872334
6933.691406	-55.881004
6976.757812	-55.270180
7019.824219	-54.806221
7062.890625	-55.022308
7105.957031	-56.228321
7149.023438	-56.470509
7192.089844	-55.065311
7235.156250	-55.065830
7278.222656	-56.142895
7321.289062	-56.324490
7364.355469	-56.112106
7407.421875	-55.925697
7450.488281	-56.345028
7493.554688	-56.549873
7536.621094	-56.119804
7579.687500	-56.189255
7622.753906	-57.130165
7665.820312	-57.597130
7708.886719	-55.974754
7751.953125	-54.125454
7795.019531	-56.054913
7838.085938	-57.563938
7881.152344	-56.907452
7924.218750	-57.389111
7967.285156	-57.756866
8010.351562	-57.575512
8053.417969	-57.757603
8096.484375	-58.332191
8139.550781	-58.087044
8182.617188	-58.299900
8225.683594	-59.709137
8268.750000	-60.868183
8311.816406	-60.976788
8354.882812	-60.907585
8397.949219	-60.749706
8441.015625	-60.696899
8484.082031	-60.807686
8527.148438	-61.131271
8570.214844	-60.965595
8613.281250	-59.445820
8656.347656	-60.210270
8699.414062	-61.988480
8742.480469	-62.040913
8785.546875	-62.223392
8828.613281	-62.318993
8871.679688	-61.832710
8914.746094	-60.558552
8957.812500	-61.883591
9000.878906	-62.834240
9043.945312	-62.936333
9087.011719	-62.933186
9130.078125	-62.412666
9173.144531	-61.908844
9216.210938	-62.328976
9259.277344	-62.901737
9302.343750	-62.834175
9345.410156	-63.580791
9388.476562	-63.286617
9431.542969	-63.215588
9474.609375	-63.205921
9517.675781	-62.831429
9560.742188	-63.415958
9603.808594	-64.505997
9646.875000	-65.138672
9689.941406	-65.345016
9733.007812	-64.876251
9776.074219	-65.040955
9819.140625	-65.840073
9862.207031	-66.087463
9905.273438	-66.176247
9948.339844	-66.116371
9991.406250	-65.879066
10034.472656	-66.307068
10077.539062	-66.611877
10120.605469	-67.077766
10163.671875	-67.752739
10206.738281	-67.747070
10249.804688	-67.527252
10292.871094	-67.596619
10335.937500	-68.057625
10379.003906	-68.362717
10422.070312	-68.471001
10465.136719	-68.585876
10508.203125	-68.589104
10551.269531	-68.992180
10594.335938	-68.999329
10637.402344	-68.158989
10680.468750	-68.216171
10723.535156	-68.269936
10766.601562	-68.284203
10809.667969	-68.371498
10852.734375	-68.322823
10895.800781	-68.746048
10938.867188	-68.529732
10981.933594	-68.141724
