Frequency (Hz)	Level (dB)
43.066406	-31.728413
86.132812	-23.285580
129.199219	-22.065865
172.265625	-22.162491
215.332031	-21.419016
258.398438	-22.110121
301.464844	-24.819405
344.531250	-27.953171
387.597656	-28.945499
430.664062	-26.589048
473.730469	-26.430775
516.796875	-26.617680
559.863281	-27.676050
602.929688	-26.740047
645.996094	-23.525887
689.062500	-24.559967
732.128906	-29.266216
775.195312	-26.384081
818.261719	-26.412949
861.328125	-25.850885
904.394531	-26.364233
947.460938	-28.205482
990.527344	-26.212912
1033.593750	-27.388062
1076.660156	-28.241819
1119.726562	-28.408901
1162.792969	-28.666672
1205.859375	-30.118587
1248.925781	-29.978254
1291.992188	-24.044823
1335.058594	-21.954742
1378.125000	-27.467487
1421.191406	-34.617382
1464.257812	-34.483116
1507.324219	-33.947121
1550.390625	-33.070786
1593.457031	-32.264965
1636.523438	-34.084446
1679.589844	-32.212749
1722.656250	-32.173759
1765.722656	-32.288544
1808.789062	-37.425694
1851.855469	-40.428493
1894.921875	-39.845913
1937.988281	-38.132034
1981.054688	-33.887989
2024.121094	-34.273846
2067.187500	-37.718311
2110.253906	-37.592934
2153.320312	-37.286190
2196.386719	-35.826603
2239.453125	-37.452152
2282.519531	-39.969460
2325.585938	-39.843620
2368.652344	-39.214287
2411.718750	-39.415535
2454.785156	-38.907047
2497.851562	-38.584148
2540.917969	-39.527187
2583.984375	-41.593750
2627.050781	-39.719082
2670.117188	-36.707024
2713.183594	-36.984962
2756.250000	-40.901577
2799.316406	-43.756145
2842.382812	-43.608643
2885.449219	-43.764008
2928.515625	-43.930717
2971.582031	-42.371799
3014.648438	-41.506310
3057.714844	-43.820930
3100.781250	-46.329163
3143.847656	-44.695213
3186.914062	-42.267303
3229.980469	-42.814110
3273.046875	-45.642960
3316.113281	-45.339813
3359.179688	-42.770142
3402.246094	-42.152279
3445.312500	-43.192398
3488.378906	-44.379585
3531.445312	-43.312313
3574.511719	-43.028446
3617.578125	-43.789333
3660.644531	-44.380512
3703.710938	-44.631927
3746.777344	-45.635925
3789.843750	-46.761463
3832.910156	-46.176289
3875.976562	-44.234550
3919.042969	-45.702099
3962.109375	-44.692802
4005.175781	-42.946465
4048.242188	-43.638172
4091.308594	-46.688988
4134.375000	-48.231785
4177.441406	-48.514187
4220.507812	-47.479614
4263.574219	-46.543312
4306.640625	-46.806828
4349.707031	-47.531654
4392.773438	-48.990364
4435.839844	-48.843754
4478.906250	-48.279385
4521.972656	-48.314312
4565.039062	-49.075325
4608.105469	-50.520012
4651.171875	-51.055275
4694.238281	-50.867485
4737.304688	-48.784237
4780.371094	-48.794479
