Frequency (Hz)	Level (dB)
43.066406	-31.963213
86.132812	-23.395107
129.199219	-22.176847
172.265625	-22.282177
215.332031	-21.422447
258.398438	-22.115438
301.464844	-24.954351
344.531250	-28.219234
387.597656	-29.120907
430.664062	-26.671478
473.730469	-26.495281
516.796875	-26.563091
559.863281	-27.719883
602.929688	-27.190107
645.996094	-24.428049
689.062500	-25.425102
732.128906	-29.703152
775.195312	-26.667528
818.261719	-26.750919
861.328125	-26.235346
904.394531	-26.462986
947.460938	-27.909466
990.527344	-26.376040
1033.593750	-27.551598
1076.660156	-28.269379
1119.726562	-28.577723
1162.792969	-28.904526
1205.859375	-30.252001
1248.925781	-30.099146
1291.992188	-24.120346
1335.058594	-21.969528
1378.125000	-27.437441
1421.191406	-34.820522
1464.257812	-34.838722
1507.324219	-34.312405
1550.390625	-32.865627
1593.457031	-31.892189
1636.523438	-33.988701
1679.589844	-32.076015
1722.656250	-32.219810
1765.722656	-32.418613
1808.789062	-37.405003
1851.855469	-40.167728
1894.921875	-39.561153
1937.988281	-38.056545
1981.054688	-34.097206
2024.121094	-34.550072
2067.187500	-37.975346
2110.253906	-37.763607
2153.320312	-37.459274
2196.386719	-36.148727
2239.453125	-37.733006
2282.519531	-40.128567
2325.585938	-40.019527
2368.652344	-39.621761
2411.718750	-39.972931
2454.785156	-39.221825
2497.851562	-38.720036
2540.917969	-39.537415
2583.984375	-41.312160
2627.050781	-39.407284
2670.117188	-36.609142
2713.183594	-37.129322
2756.250000	-41.161434
2799.316406	-43.462185
2842.382812	-43.243080
2885.449219	-43.378647
2928.515625	-43.559757
2971.582031	-42.234497
3014.648438	-41.446014
3057.714844	-43.666878
3100.781250	-45.860600
3143.847656	-44.269611
3186.914062	-42.070393
3229.980469	-42.644341
3273.046875	-45.163975
3316.113281	-44.743332
3359.179688	-42.418633
3402.246094	-42.020939
3445.312500	-43.095009
3488.378906	-44.013844
3531.445312	-42.866867
3574.511719	-42.694752
3617.578125	-43.552238
3660.644531	-44.094509
3703.710938	-44.290607
3746.777344	-45.236572
3789.843750	-46.253315
3832.910156	-45.959557
3875.976562	-44.418022
3919.042969	-45.750729
3962.109375	-44.672462
4005.175781	-42.684837
4048.242188	-43.265236
4091.308594	-46.277203
4134.375000	-47.760937
4177.441406	-48.004547
4220.507812	-46.959488
4263.574219	-45.853935
4306.640625	-46.117607
4349.707031	-46.909824
4392.773438	-48.200581
4435.839844	-48.028324
4478.906250	-47.711212
4521.972656	-47.836746
4565.039062	-48.595440
4608.105469	-49.743279
4651.171875	-50.134727
4694.238281	-50.174953
4737.304688	-48.620754
4780.371094	-48.672527
4823.437500	-49.780502
4866.503906	-50.159157
4909.570312	-49.204308
4952.636719	-49.581985
4995.703125	-48.678104
5038.769531	-47.670746
5081.835938	-49.437775
5124.902344	-51.952858
5167.968750	-52.396225
5211.035156	-52.518738
5254.101562	-51.740551
5297.167969	-50.454136
5340.234375	-49.704498
5383.300781	-50.477604
5426.367188	-53.123493
5469.433594	-53.341850
5512.500000	-51.047733
5555.566406	-50.577663
5598.632812	-51.723354
5641.699219	-51.606735
5684.765625	-51.935955
5727.832031	-52.671173
5770.898438	-52.522339
5813.964844	-51.539280
5857.031250	-51.723579
5900.097656	-52.031349
5943.164062	-52.244591
5986.230469	-51.425068
6029.296875	-49.158157
6072.363281	-50.428436
6115.429688	-53.070889
6158.496094	-54.273312
6201.562500	-54.460258
6244.628906	-53.161263
6287.695312	-53.375702
6330.761719	-53.839935
6373.828125	-53.688225
6416.894531	-54.267857
6459.960938	-55.351273
6503.027344	-55.093784
6546.093750	-54.558228
6589.160156	-55.297756
6632.226562	-55.523891
6675.292969	-55.593723
6718.359375	-55.143787
6761.425781	-55.463112
6804.492188	-56.135288
6847.558594	-56.294476
6890.625000	-56.202362
6933.691406	-55.549717
6976.757812	-55.046055
7019.824219	-54.557331
7062.890625	-54.599163
7105.957031	-55.565331
7149.023438	-55.885242
7192.089844	-54.893993
7235.156250	-54.919575
7278.222656	-55.744129
7321.289062	-55.789833
7364.355469	-55.620449
7407.421875	-55.560146
7450.488281	-56.024685
7493.554688	-56.189598
7536.621094	-55.716419
7579.687500	-55.748711
7622.753906	-56.431885
7665.820312	-56.841396
7708.886719	-55.775196
7751.953125	-54.358238
7795.019531	-55.956673
7838.085938	-56.928082
7881.152344	-56.448189
7924.218750	-56.955059
7967.285156	-57.207951
8010.351562	-56.918716
8053.417969	-56.929806
8096.484375	-57.386192
8139.550781	-57.276573
8182.617188	-57.616901
8225.683594	-58.738552
8268.750000	-59.480595
8311.816406	-59.466434
8354.882812	-59.243324
8397.949219	-58.982246
8441.015625	-58.971909
8484.082031	-59.049889
8527.148438	-59.417934
8570.214844	-59.295372
8613.281250	-58.157024
8656.347656	-58.725197
8699.414062	-60.115055
8742.480469	-60.239853
8785.546875	-60.166798
8828.613281	-60.190815
8871.679688	-60.262886
8914.746094	-59.660126
8957.812500	-60.513084
9000.878906	-60.667877
9043.945312	-60.673187
9087.011719	-60.614502
9130.078125	-60.589752
9173.144531	-60.571953
