Frequency (Hz)	Level (dB)
43.066406	-18.976688
86.132812	-14.108533
129.199219	-16.393572
172.265625	-20.165331
215.332031	-21.402557
258.398438	-21.786177
301.464844	-19.102995
344.531250	-20.332632
387.597656	-19.732611
430.664062	-19.990189
473.730469	-20.234135
516.796875	-20.736370
559.863281	-24.596836
602.929688	-26.217335
645.996094	-28.652145
689.062500	-28.967867
732.128906	-31.686354
775.195312	-27.884382
818.261719	-24.508966
861.328125	-26.734722
904.394531	-22.399700
947.460938	-22.397661
990.527344	-20.124773
1033.593750	-18.585993
1076.660156	-21.466431
1119.726562	-23.633228
1162.792969	-22.142357
1205.859375	-19.362270
1248.925781	-21.051056
1291.992188	-28.900671
1335.058594	-31.649687
1378.125000	-29.781256
1421.191406	-31.253853
1464.257812	-29.930685
1507.324219	-26.240841
1550.390625	-25.437267
1593.457031	-27.577742
1636.523438	-27.003931
1679.589844	-29.132524
1722.656250	-30.871405
1765.722656	-30.437088
1808.789062	-30.008564
1851.855469	-30.485926
1894.921875	-35.282345
1937.988281	-38.160988
1981.054688	-36.950806
2024.121094	-31.498264
2067.187500	-30.104013
2110.253906	-34.105141
2153.320312	-36.269470
2196.386719	-35.225586
2239.453125	-37.963123
2282.519531	-38.318565
2325.585938	-36.194458
2368.652344	-35.747906
2411.718750	-32.912521
2454.785156	-30.871727
2497.851562	-32.779636
2540.917969	-36.206947
2583.984375	-39.192867
2627.050781	-41.014416
2670.117188	-39.843712
2713.183594	-36.722919
2756.250000	-35.277325
2799.316406	-37.022858
2842.382812	-39.323269
2885.449219	-39.000935
2928.515625	-38.136494
2971.582031	-36.974766
3014.648438	-35.493729
3057.714844	-34.298050
3100.781250	-34.700699
3143.847656	-37.243195
3186.914062	-40.334400
3229.980469	-39.130871
3273.046875	-36.484921
3316.113281	-36.285881
3359.179688	-38.301472
3402.246094	-38.816750
3445.312500	-37.364044
3488.378906	-37.718460
3531.445312	-37.874474
3574.511719	-37.332630
3617.578125	-37.609715
3660.644531	-36.919128
3703.710938	-36.645313
3746.777344	-39.112682
3789.843750	-42.239220
3832.910156	-43.810390
3875.976562	-44.419373
3919.042969	-45.864689
3962.109375	-47.521004
4005.175781	-45.952969
4048.242188	-44.055897
4091.308594	-41.978947
4134.375000	-40.684322
4177.441406	-41.721802
4220.507812	-42.930069
4263.574219	-42.949932
4306.640625	-42.503979
4349.707031	-42.475189
4392.773438	-42.930328
4435.839844	-44.027672
4478.906250	-44.698174
4521.972656	-44.824551
4565.039062	-44.489983
4608.105469	-43.543125
4651.171875	-42.536285
4694.238281	-41.789516
4737.304688	-41.653801
4780.371094	-41.427113
4823.437500	-40.996685
4866.503906	-40.830360
4909.570312	-40.558693
4952.636719	-40.742653
4995.703125	-41.890266
5038.769531	-44.363934
5081.835938	-45.247311
5124.902344	-44.728516
5167.968750	-45.054016
5211.035156	-45.866207
5254.101562	-46.844986
5297.167969	-47.485481
5340.234375	-47.365047
5383.300781	-46.645893
5426.367188	-45.172729
5469.433594	-45.133392
5512.500000	-45.677273
5555.566406	-46.097492
5598.632812	-47.365669
5641.699219	-46.344353
5684.765625	-45.581154
5727.832031	-45.671734
5770.898438	-47.315201
5813.964844	-49.502247
5857.031250	-50.314106
5900.097656	-50.211243
5943.164062	-50.010715
5986.230469	-49.410938
6029.296875	-48.633743
6072.363281	-48.324711
6115.429688	-47.329311
6158.496094	-46.253906
6201.562500	-45.468849
6244.628906	-45.652241
6287.695312	-47.364231
6330.761719	-48.588383
6373.828125	-48.742172
6416.894531	-46.107689
6459.960938	-43.663738
6503.027344	-44.975536
6546.093750	-47.467827
6589.160156	-47.346310
6632.226562	-47.456066
6675.292969	-47.691879
6718.359375	-47.172844
6761.425781	-47.600929
6804.492188	-48.159920
6847.558594	-48.139969
6890.625000	-47.738029
6933.691406	-47.233139
6976.757812	-46.885365
7019.824219	-46.787540
7062.890625	-47.147888
7105.957031	-46.977722
7149.023438	-46.204109
7192.089844	-43.791504
7235.156250	-43.268539
7278.222656	-45.786194
7321.289062	-46.931274
7364.355469	-46.971169
7407.421875	-46.621811
7450.488281	-46.791496
7493.554688	-47.485180
7536.621094	-47.694023
7579.687500	-46.903713
7622.753906	-44.965424
7665.820312	-43.819408
7708.886719	-45.193508
7751.953125	-46.340542
7795.019531	-46.156944
7838.085938	-45.971058
7881.152344	-45.919571
7924.218750	-45.605511
7967.285156	-45.891979
8010.351562	-45.215893
8053.417969	-43.391331
8096.484375	-43.262264
8139.550781	-45.163715
8182.617188	-46.400478
8225.683594	-46.582024
8268.750000	-46.551071
8311.816406	-46.999695
8354.882812	-47.477715
8397.949219	-48.167023
8441.015625	-48.202194
8484.082031	-46.922554
8527.148438	-44.358051
8570.214844	-44.045231
8613.281250	-46.472195
8656.347656	-47.855270
8699.414062	-48.748146
8742.480469	-48.879791
8785.546875	-48.889633
8828.613281	-49.880161
8871.679688	-50.879524
8914.746094	-51.013199
8957.812500	-51.435577
9000.878906	-51.854176
9043.945312	-52.093559
9087.011719	-52.160725
9130.078125	-52.496605
9173.144531	-53.149403
9216.210938	-53.558857
9259.277344	-53.436909
9302.343750	-53.419735
9345.410156	-53.645882
9388.476562	-53.894100
9431.542969	-53.987663
9474.609375	-54.579712
9517.675781	-55.094563
9560.742188	-55.068703
9603.808594	-55.010284
9646.875000	-54.879124
9689.941406	-54.834187
9733.007812	-55.322090
9776.074219	-55.645306
9819.140625	-56.041981
9862.207031	-56.260090
9905.273438	-56.283394
9948.339844	-56.608879
9991.406250	-57.099529
10034.472656	-57.569553
10077.539062	-57.713448
10120.605469	-57.454315
10163.671875	-57.412113
10206.738281	-57.761684
10249.804688	-57.791672
10292.871094	-57.408867
10335.937500	-57.691334
10379.003906	-57.799965
10422.070312	-57.804813
10465.136719	-58.251476
10508.203125	-58.244717
10551.269531	-58.358551
10594.335938	-58.592354
10637.402344	-59.022491
10680.468750	-59.469082
10723.535156	-59.774570
10766.601562	-59.928249
10809.667969	-60.001263
10852.734375	-59.865658
10895.800781	-59.619907
10938.867188	-59.682133
10981.933594	-59.823490
11025.000000	-59.461933
11068.066406	-59.259315
11111.132812	-59.060871
11154.199219	-59.119167
11197.265625	-59.217331
11240.332031	-59.628036
11283.398438	-60.142879
11326.464844	-60.473881
11369.531250	-60.493935
11412.597656	-60.408997
11455.664062	-60.437119
11498.730469	-60.839882
11541.796875	-61.233444
11584.863281	-61.390095
11627.929688	-61.505627
11670.996094	-61.685555
11714.062500	-62.060051
11757.128906	-62.102329
11800.195312	-62.216473
11843.261719	-62.332142
11886.328125	-62.947010
11929.394531	-63.301533
11972.460938	-63.493267
12015.527344	-63.257877
12058.593750	-63.148781
12101.660156	-63.191391
12144.726562	-63.221893
12187.792969	-63.209694
12230.859375	-63.202717
12273.925781	-63.155636
12316.992188	-63.107796
12360.058594	-62.858841
12403.125000	-62.757942
12446.191406	-63.074829
