Frequency (Hz)	Level (dB)
43.066406	-18.675867
86.132812	-13.894094
129.199219	-16.259056
172.265625	-20.041031
215.332031	-21.350655
258.398438	-21.635666
301.464844	-18.702728
344.531250	-19.873405
387.597656	-19.535482
430.664062	-20.106432
473.730469	-20.664833
516.796875	-21.237556
559.863281	-24.945337
602.929688	-26.317694
645.996094	-28.728563
689.062500	-28.946249
732.128906	-31.876169
775.195312	-27.917675
818.261719	-24.487780
861.328125	-26.868238
904.394531	-22.811817
947.460938	-22.803524
990.527344	-20.054111
1033.593750	-18.522556
1076.660156	-21.518183
1119.726562	-23.557510
1162.792969	-22.079157
1205.859375	-19.411348
1248.925781	-21.032562
1291.992188	-28.782375
1335.058594	-31.546234
1378.125000	-29.550346
1421.191406	-31.027618
1464.257812	-29.629604
1507.324219	-25.870552
1550.390625	-25.114487
1593.457031	-27.422812
1636.523438	-26.893183
1679.589844	-29.145220
1722.656250	-30.998556
1765.722656	-30.506643
1808.789062	-30.131086
1851.855469	-30.717819
1894.921875	-35.792450
1937.988281	-38.797287
1981.054688	-37.326889
2024.121094	-31.394869
2067.187500	-29.909380
2110.253906	-34.081467
2153.320312	-36.374519
2196.386719	-35.147354
2239.453125	-38.152870
2282.519531	-38.759743
2325.585938	-36.435497
2368.652344	-35.739037
2411.718750	-32.793980
2454.785156	-30.803246
2497.851562	-32.806084
2540.917969	-36.495537
2583.984375	-39.785366
2627.050781	-41.726025
2670.117188	-40.441334
2713.183594	-37.087818
2756.250000	-35.479000
2799.316406	-37.276997
2842.382812	-39.681744
2885.449219	-39.288738
2928.515625	-38.344933
2971.582031	-37.132633
3014.648438	-35.654320
3057.714844	-34.438282
3100.781250	-34.881725
3143.847656	-37.525616
3186.914062	-40.822956
3229.980469	-39.597168
3273.046875	-36.722313
3316.113281	-36.451504
3359.179688	-38.622334
3402.246094	-39.197796
3445.312500	-37.702518
3488.378906	-38.243591
3531.445312	-38.520500
3574.511719	-37.834614
3617.578125	-37.893681
3660.644531	-37.029305
3703.710938	-36.721615
3746.777344	-39.385494
3789.843750	-42.757751
3832.910156	-44.393517
3875.976562	-44.916130
3919.042969	-46.411610
3962.109375	-48.207523
4005.175781	-46.691208
4048.242188	-44.824837
4091.308594	-42.466148
4134.375000	-40.901875
4177.441406	-41.948067
4220.507812	-43.215012
4263.574219	-43.513538
4306.640625	-42.942417
4349.707031	-42.722675
4392.773438	-43.206379
4435.839844	-44.472343
4478.906250	-45.264225
4521.972656	-45.600830
4565.039062	-45.100826
4608.105469	-43.953403
4651.171875	-42.831230
4694.238281	-42.040676
4737.304688	-41.849037
4780.371094	-41.509590
4823.437500	-40.919693
4866.503906	-40.726604
4909.570312	-40.374729
4952.636719	-40.642117
4995.703125	-42.064907
5038.769531	-44.879524
5081.835938	-45.745438
5124.902344	-45.035641
5167.968750	-45.273533
5211.035156	-46.195286
5254.101562	-47.128838
5297.167969	-47.757282
5340.234375	-47.724319
5383.300781	-46.727802
5426.367188	-44.856647
5469.433594	-45.132080
5512.500000	-46.202133
5555.566406	-46.676800
5598.632812	-47.924931
5641.699219	-46.773281
5684.765625	-45.956631
5727.832031	-45.934288
5770.898438	-47.597569
5813.964844	-49.830173
5857.031250	-50.712593
