Frequency (Hz)	Level (dB)
43.066406	-20.703588
86.132812	-15.584991
129.199219	-17.189602
172.265625	-20.285255
215.332031	-21.427834
258.398438	-21.647163
301.464844	-18.878670
344.531250	-20.143476
387.597656	-19.652304
430.664062	-20.030973
473.730469	-20.471350
516.796875	-21.004120
559.863281	-24.730597
602.929688	-26.417166
645.996094	-28.924822
689.062500	-29.236809
732.128906	-31.864019
775.195312	-28.065035
818.261719	-24.739645
861.328125	-26.819304
904.394531	-22.329594
947.460938	-22.386307
990.527344	-20.294071
1033.593750	-18.713877
1076.660156	-21.424683
1119.726562	-23.546537
1162.792969	-22.221739
1205.859375	-19.432796
1248.925781	-21.075787
1291.992188	-28.895449
1335.058594	-31.626076
1378.125000	-29.784897
1421.191406	-31.224039
1464.257812	-29.854532
1507.324219	-26.185581
1550.390625	-25.439817
1593.457031	-27.546753
1636.523438	-26.882666
1679.589844	-28.997793
1722.656250	-30.799906
1765.722656	-30.366823
1808.789062	-29.953541
1851.855469	-30.449112
1894.921875	-35.198605
1937.988281	-38.042561
1981.054688	-36.890560
2024.121094	-31.458645
2067.187500	-30.091152
2110.253906	-34.126934
2153.320312	-36.269894
2196.386719	-35.291180
2239.453125	-38.070690
2282.519531	-38.442059
2325.585938	-36.495243
2368.652344	-36.228222
2411.718750	-33.361435
2454.785156	-31.197664
2497.851562	-32.944160
2540.917969	-36.235565
2583.984375	-39.056774
2627.050781	-40.742470
2670.117188	-39.665970
2713.183594	-36.648533
2756.250000	-35.224373
2799.316406	-36.965897
2842.382812	-39.226299
2885.449219	-38.923931
2928.515625	-38.201176
2971.582031	-37.084915
3014.648438	-35.549305
3057.714844	-34.344894
3100.781250	-34.790565
3143.847656	-37.327957
3186.914062	-40.345337
3229.980469	-39.099339
3273.046875	-36.423840
3316.113281	-36.158531
3359.179688	-38.084198
3402.246094	-38.652367
3445.312500	-37.298763
3488.378906	-37.706715
3531.445312	-37.910782
3574.511719	-37.409431
3617.578125	-37.641979
3660.644531	-36.850250
3703.710938	-36.555347
3746.777344	-38.998440
3789.843750	-42.123795
3832.910156	-43.704025
3875.976562	-44.313835
3919.042969	-45.718307
3962.109375	-47.272511
4005.175781	-45.613491
4048.242188	-43.688145
4091.308594	-41.696564
4134.375000	-40.412327
4177.441406	-41.414955
4220.507812	-42.606308
4263.574219	-42.567272
4306.640625	-42.062084
4349.707031	-42.069313
4392.773438	-42.582188
4435.839844	-43.657696
4478.906250	-44.382351
4521.972656	-44.567471
4565.039062	-44.236160
4608.105469	-43.306526
4651.171875	-42.351997
4694.238281	-41.689125
4737.304688	-41.593864
4780.371094	-41.392597
4823.437500	-40.938412
4866.503906	-40.732227
