Frequency (Hz)	Level (dB)
43.066406	-28.103012
86.132812	-21.591965
129.199219	-19.441973
172.265625	-16.946131
215.332031	-13.971216
258.398438	-12.964677
301.464844	-15.531288
344.531250	-16.660030
387.597656	-18.272078
430.664062	-19.281990
473.730469	-17.801676
516.796875	-17.458324
559.863281	-18.290718
602.929688	-20.776108
645.996094	-21.444372
689.062500	-20.558773
732.128906	-21.430626
775.195312	-23.203239
818.261719	-22.008598
861.328125	-22.582172
904.394531	-22.091160
947.460938	-21.461824
990.527344	-24.676811
1033.593750	-24.700092
1076.660156	-23.483999
1119.726562	-26.053400
1162.792969	-26.068766
1205.859375	-25.111025
1248.925781	-22.913925
1291.992188	-22.388943
1335.058594	-25.723160
1378.125000	-24.269037
1421.191406	-20.984522
1464.257812	-23.148472
1507.324219	-28.321426
1550.390625	-27.227390
1593.457031	-26.244122
1636.523438	-27.703667
1679.589844	-28.543669
1722.656250	-29.317999
1765.722656	-26.307280
1808.789062	-28.589798
1851.855469	-29.069601
1894.921875	-24.948484
1937.988281	-25.913628
1981.054688	-30.595444
2024.121094	-32.780811
2067.187500	-30.470873
2110.253906	-26.105227
2153.320312	-24.905035
2196.386719	-28.181944
2239.453125	-30.092140
2282.519531	-31.501537
2325.585938	-31.656445
2368.652344	-30.064713
2411.718750	-31.759371
2454.785156	-30.435627
2497.851562	-27.634802
2540.917969	-27.090162
2583.984375	-27.967777
2627.050781	-29.866714
2670.117188	-31.801758
2713.183594	-33.209534
2756.250000	-32.550652
2799.316406	-29.624357
2842.382812	-28.551867
2885.449219	-29.947781
2928.515625	-31.732182
2971.582031	-32.689137
3014.648438	-34.526722
3057.714844	-35.284912
3100.781250	-34.909801
3143.847656	-33.179066
3186.914062	-32.074913
3229.980469	-33.342346
3273.046875	-34.094788
3316.113281	-33.597778
3359.179688	-33.511879
3402.246094	-34.411652
3445.312500	-35.761990
3488.378906	-35.290180
3531.445312	-33.473957
3574.511719	-33.064960
3617.578125	-34.512329
3660.644531	-34.921436
3703.710938	-34.751415
3746.777344	-33.930157
3789.843750	-33.540321
3832.910156	-34.265862
3875.976562	-35.048325
3919.042969	-35.424900
3962.109375	-36.433147
4005.175781	-37.952641
4048.242188	-38.893513
4091.308594	-39.353024
4134.375000	-38.738941
4177.441406	-37.361519
4220.507812	-35.661240
4263.574219	-34.833717
4306.640625	-35.504871
4349.707031	-36.617599
4392.773438	-37.820648
4435.839844	-37.911221
4478.906250	-37.955975
4521.972656	-39.110466
4565.039062	-39.748764
4608.105469	-40.116264
4651.171875	-39.153313
4694.238281	-38.021000
4737.304688	-37.460083
4780.371094	-38.795929
4823.437500	-41.046158
4866.503906	-41.206947
4909.570312	-40.422195
4952.636719	-40.335773
4995.703125	-40.057846
5038.769531	-40.378551
5081.835938	-41.381237
5124.902344	-41.662483
5167.968750	-41.710159
5211.035156	-41.685421
5254.101562	-41.178261
5297.167969	-40.609467
5340.234375	-40.952126
5383.300781	-41.860661
5426.367188	-42.492718
5469.433594	-42.882015
5512.500000	-42.897049
5555.566406	-42.688976
5598.632812	-42.808491
5641.699219	-42.606068
5684.765625	-42.684048
5727.832031	-43.301376
5770.898438	-43.817989
5813.964844	-44.114094
5857.031250	-44.311661
5900.097656	-43.884949
5943.164062	-43.355892
5986.230469	-44.133141
6029.296875	-44.950264
6072.363281	-45.132984
6115.429688	-45.161121
6158.496094	-45.125801
6201.562500	-45.296982
6244.628906	-45.447670
6287.695312	-45.212757
6330.761719	-45.197277
6373.828125	-45.311230
6416.894531	-45.253983
6459.960938	-45.926037
6503.027344	-46.283131
6546.093750	-46.341709
6589.160156	-46.585163
6632.226562	-46.386086
6675.292969	-46.938446
6718.359375	-47.875134
6761.425781	-48.501957
6804.492188	-48.906616
6847.558594	-49.205612
6890.625000	-49.721615
6933.691406	-50.336334
6976.757812	-50.482544
7019.824219	-50.300602
7062.890625	-49.927521
7105.957031	-49.210991
7149.023438	-49.194553
7192.089844	-50.360237
7235.156250	-50.947113
7278.222656	-51.275997
7321.289062	-51.614559
7364.355469	-51.639763
7407.421875	-51.712826
7450.488281	-51.842785
7493.554688	-51.944305
7536.621094	-51.327213
7579.687500	-50.756287
7622.753906	-51.365574
7665.820312	-52.498734
7708.886719	-53.184349
7751.953125	-53.717361
7795.019531	-54.191193
7838.085938	-54.546082
7881.152344	-54.900150
7924.218750	-55.218044
7967.285156	-55.427921
8010.351562	-55.414879
8053.417969	-55.427937
8096.484375	-55.877571
8139.550781	-56.461483
8182.617188	-56.833939
8225.683594	-57.048355
8268.750000	-57.101471
8311.816406	-57.052006
8354.882812	-57.343834
8397.949219	-57.486862
8441.015625	-57.825752
8484.082031	-57.969913
8527.148438	-57.799850
8570.214844	-57.887802
8613.281250	-58.124256
8656.347656	-58.415211
8699.414062	-59.129112
8742.480469	-59.740936
8785.546875	-60.122704
8828.613281	-60.156742
8871.679688	-60.067387
8914.746094	-59.690311
8957.812500	-59.626854
9000.878906	-60.043613
9043.945312	-60.781975
9087.011719	-61.288212
9130.078125	-61.570278
9173.144531	-61.750233
9216.210938	-61.732746
9259.277344	-61.781590
9302.343750	-62.031780
9345.410156	-62.430271
9388.476562	-62.644886
9431.542969	-62.231495
9474.609375	-61.655354
9517.675781	-61.677242
9560.742188	-62.142712
9603.808594	-62.337940
9646.875000	-62.642601
9689.941406	-62.930859
9733.007812	-63.059467
9776.074219	-63.180447
9819.140625	-63.223259
9862.207031	-63.207890
9905.273438	-63.197235
9948.339844	-63.239700
9991.406250	-63.155670
10034.472656	-63.079933
10077.539062	-63.097813
10120.605469	-63.242950
10163.671875	-63.594540
