Frequency (Hz)	Level (dB)
43.066406	-27.979122
86.132812	-21.474443
129.199219	-19.228075
172.265625	-16.704006
215.332031	-13.780028
258.398438	-12.718319
301.464844	-15.156531
344.531250	-16.111076
387.597656	-17.838299
430.664062	-19.223223
473.730469	-17.916250
516.796875	-17.789759
559.863281	-18.472979
602.929688	-20.571423
645.996094	-21.073391
689.062500	-20.356678
732.128906	-21.288363
775.195312	-22.896418
818.261719	-21.670773
861.328125	-22.292057
904.394531	-22.198139
947.460938	-21.699480
990.527344	-24.739964
1033.593750	-24.667568
1076.660156	-23.479698
1119.726562	-25.955462
1162.792969	-25.957785
1205.859375	-24.991634
1248.925781	-22.578266
1291.992188	-22.017235
1335.058594	-25.327471
1378.125000	-23.798273
1421.191406	-20.606926
1464.257812	-22.849010
1507.324219	-27.929605
1550.390625	-26.920858
1593.457031	-26.029768
1636.523438	-27.524143
1679.589844	-28.422667
1722.656250	-29.169037
1765.722656	-26.101805
1808.789062	-28.425447
1851.855469	-29.137066
1894.921875	-25.349104
1937.988281	-26.522575
1981.054688	-30.615917
2024.121094	-32.542198
2067.187500	-30.193167
2110.253906	-26.015139
2153.320312	-25.405643
2196.386719	-28.598745
2239.453125	-29.739159
2282.519531	-31.235939
2325.585938	-31.383337
2368.652344	-29.675781
2411.718750	-31.379143
2454.785156	-30.176876
2497.851562	-27.592598
2540.917969	-27.284286
2583.984375	-28.197521
2627.050781	-29.962927
2670.117188	-31.800228
2713.183594	-33.176254
2756.250000	-32.421734
2799.316406	-29.440182
2842.382812	-28.347673
2885.449219	-29.800472
2928.515625	-31.660513
2971.582031	-32.586117
3014.648438	-34.480114
3057.714844	-35.237942
3100.781250	-34.792591
3143.847656	-33.023388
3186.914062	-31.870367
3229.980469	-33.161224
3273.046875	-33.940193
3316.113281	-33.428493
3359.179688	-33.401272
3402.246094	-34.306755
3445.312500	-35.616283
3488.378906	-35.232998
3531.445312	-33.539127
3574.511719	-33.101170
3617.578125	-34.487709
3660.644531	-34.855610
3703.710938	-34.615650
3746.777344	-33.759624
3789.843750	-33.357937
3832.910156	-34.064018
3875.976562	-34.765213
3919.042969	-35.071754
3962.109375	-36.069328
4005.175781	-37.726673
4048.242188	-38.727512
4091.308594	-39.126190
4134.375000	-38.463783
4177.441406	-36.990154
4220.507812	-35.355648
4263.574219	-34.758148
4306.640625	-35.396896
4349.707031	-36.421818
4392.773438	-37.719009
4435.839844	-37.798641
4478.906250	-37.745361
4521.972656	-38.989014
4565.039062	-39.633663
4608.105469	-39.950310
4651.171875	-38.961311
4694.238281	-37.788654
4737.304688	-37.060425
4780.371094	-38.270546
4823.437500	-40.453415
4866.503906	-40.670803
4909.570312	-39.929596
4952.636719	-39.880402
4995.703125	-39.685596
5038.769531	-40.129028
5081.835938	-41.108589
5124.902344	-41.366554
5167.968750	-41.381489
5211.035156	-41.258110
5254.101562	-40.533745
5297.167969	-39.929745
5340.234375	-40.255882
5383.300781	-41.144764
5426.367188	-41.761387
5469.433594	-42.322853
5512.500000	-42.486832
5555.566406	-42.248241
5598.632812	-42.299751
5641.699219	-42.193398
5684.765625	-42.269650
5727.832031	-42.776794
5770.898438	-43.164658
5813.964844	-43.426331
5857.031250	-43.634335
5900.097656	-43.253010
5943.164062	-42.787834
5986.230469	-43.825550
6029.296875	-44.923672
6072.363281	-45.121719
6115.429688	-45.137051
6158.496094	-45.176140
6201.562500	-45.696564
6244.628906	-46.664650
6287.695312	-46.758366
6330.761719	-46.769547
6373.828125	-46.937145
6416.894531	-46.863625
6459.960938	-46.860950
6503.027344	-46.124794
6546.093750	-45.996216
6589.160156	-46.297443
6632.226562	-46.106594
6675.292969	-46.694397
6718.359375	-47.591274
6761.425781	-48.034538
6804.492188	-48.407490
6847.558594	-48.761528
6890.625000	-49.187473
6933.691406	-49.797012
6976.757812	-50.038765
7019.824219	-49.946201
7062.890625	-49.619667
7105.957031	-48.960339
7149.023438	-49.011269
7192.089844	-50.051662
7235.156250	-50.411316
7278.222656	-50.605404
7321.289062	-50.919720
7364.355469	-50.823895
7407.421875	-50.888695
7450.488281	-51.116493
7493.554688	-51.289757
7536.621094	-50.458954
7579.687500	-49.618778
7622.753906	-50.152515
7665.820312	-51.366283
7708.886719	-52.140934
7751.953125	-52.781452
7795.019531	-53.095444
7838.085938	-53.105904
7881.152344	-53.169556
7924.218750	-53.454311
7967.285156	-53.819500
8010.351562	-53.840206
8053.417969	-53.792259
8096.484375	-54.043739
8139.550781	-54.537910
8182.617188	-54.830338
8225.683594	-55.035645
8268.750000	-55.325439
8311.816406	-55.465805
8354.882812	-55.614437
8397.949219	-55.807938
8441.015625	-56.305477
8484.082031	-56.559860
8527.148438	-56.343670
8570.214844	-56.357296
8613.281250	-56.612122
8656.347656	-57.046989
8699.414062	-57.888657
8742.480469	-58.278496
8785.546875	-58.617649
8828.613281	-58.211590
8871.679688	-57.677776
8914.746094	-57.389275
8957.812500	-57.410583
9000.878906	-57.780861
9043.945312	-58.135250
9087.011719	-58.437256
9130.078125	-58.862564
9173.144531	-59.414261
9216.210938	-59.739883
9259.277344	-59.658638
9302.343750	-59.726665
9345.410156	-60.044907
9388.476562	-60.060730
9431.542969	-59.972267
9474.609375	-59.552872
9517.675781	-59.515785
9560.742188	-59.971180
9603.808594	-59.983562
9646.875000	-60.091652
9689.941406	-60.587833
9733.007812	-60.906380
9776.074219	-60.905270
9819.140625	-60.966396
9862.207031	-60.944611
9905.273438	-61.050625
9948.339844	-61.072117
9991.406250	-60.433388
10034.472656	-60.555840
10077.539062	-60.703930
10120.605469	-60.698700
10163.671875	-60.759899
10206.738281	-60.486771
10249.804688	-60.811028
10292.871094	-61.031643
10335.937500	-61.170872
10379.003906	-61.206711
10422.070312	-61.227386
10465.136719	-61.494278
10508.203125	-61.339901
10551.269531	-61.005947
10594.335938	-60.788822
10637.402344	-60.380737
10680.468750	-60.750641
10723.535156	-61.316345
10766.601562	-61.348362
10809.667969	-61.641060
10852.734375	-61.648151
10895.800781	-60.995155
10938.867188	-60.836109
10981.933594	-60.810268
11025.000000	-60.981316
11068.066406	-60.956738
11111.132812	-60.804039
11154.199219	-61.331360
11197.265625	-61.422489
11240.332031	-61.094196
11283.398438	-61.141407
11326.464844	-61.617634
11369.531250	-61.633583
11412.597656	-61.594967
11455.664062	-62.277027
11498.730469	-62.085697
11541.796875	-61.911640
11584.863281	-61.990147
11627.929688	-62.202789
11670.996094	-62.517994
11714.062500	-62.713543
11757.128906	-62.654457
11800.195312	-62.320457
11843.261719	-63.257027
11886.328125	-63.709946
11929.394531	-64.039581
11972.460938	-64.654411
12015.527344	-65.399338
12058.593750	-65.425262
12101.660156	-64.822144
12144.726562	-64.885170
12187.792969	-64.577751
12230.859375	-65.152924
12273.925781	-66.072334
12316.992188	-66.737572
12360.058594	-66.678062
12403.125000	-66.296799
12446.191406	-67.114372
12489.257812	-67.635223
12532.324219	-68.354134
12575.390625	-68.387840
12618.457031	-68.487122
12661.523438	-69.184807
12704.589844	-69.371796
12747.656250	-69.443085
12790.722656	-69.354111
12833.789062	-69.828247
12876.855469	-69.402344
12919.921875	-69.224907
12962.988281	-69.561821
13006.054688	-69.743225
13049.121094	-70.351875
13092.187500	-70.692612
13135.253906	-71.454414
13178.320312	-71.802994
13221.386719	-71.435356
13264.453125	-71.877876
13307.519531	-72.276215
13350.585938	-71.214447
13393.652344	-71.578773
13436.718750	-72.087761
13479.785156	-72.097832
13522.851562	-72.630997
13565.917969	-72.910141
13608.984375	-73.058701
13652.050781	-73.398415
13695.117188	-72.250610
13738.183594	-72.564674
13781.250000	-73.012627
13824.316406	-73.565956
13867.382812	-73.880737
13910.449219	-73.393021
13953.515625	-74.369934
13996.582031	-74.869614
14039.648438	-75.050751
14082.714844	-74.596703
14125.781250	-74.350189
14168.847656	-74.432808
14211.914062	-74.077080
14254.980469	-73.629463
14298.046875	-73.890610
14341.113281	-74.008057
14384.179688	-73.624878
14427.246094	-74.635040
14470.312500	-74.964241
14513.378906	-75.079613
14556.445312	-76.276581
14599.511719	-76.126633
14642.578125	-76.072510
14685.644531	-75.969193
14728.710938	-75.569534
14771.777344	-74.659943
14814.843750	-74.536850
14857.910156	-74.766800
14900.976562	-74.312775
14944.042969	-75.025650
14987.109375	-74.943100
15030.175781	-75.599869
15073.242188	-76.178764
15116.308594	-76.246246
15159.375000	-76.270653
15202.441406	-75.783844
15245.507812	-75.629028
15288.574219	-75.294586
15331.640625	-75.414955
15374.707031	-76.056305
15417.773438	-76.306824
15460.839844	-76.657051
15503.906250	-76.515274
15546.972656	-76.010780
15590.039062	-74.733574
15633.105469	-75.020889
15676.171875	-75.847694
15719.238281	-75.684799
15762.304688	-75.667625
15805.371094	-75.633308
15848.437500	-76.129707
15891.503906	-76.262436
15934.570312	-76.302803
15977.636719	-77.069244
16020.703125	-77.475426
16063.769531	-77.797707
16106.835938	-77.761696
16149.902344	-78.285133
16192.968750	-78.261803
16236.035156	-77.797081
16279.101562	-77.384117
16322.167969	-78.270668
16365.234375	-78.784981
16408.300781	-78.870445
16451.367188	-79.499222
16494.433594	-79.759514
16537.500000	-80.021133
16580.566406	-80.174171
16623.632812	-80.713455
16666.699219	-80.171982
16709.765625	-78.682938
16752.832031	-78.663734
16795.898438	-78.191002
