Frequency (Hz)	Level (dB)
43.066406	-28.343626
86.132812	-21.762417
129.199219	-19.517859
172.265625	-16.988111
215.332031	-13.887297
258.398438	-12.759430
301.464844	-15.264105
344.531250	-16.429451
387.597656	-18.088644
430.664062	-19.242287
473.730469	-17.927465
516.796875	-17.606169
559.863281	-18.343145
602.929688	-20.961447
645.996094	-21.741755
689.062500	-20.838793
732.128906	-21.632919
775.195312	-23.351984
818.261719	-22.205940
861.328125	-22.681570
904.394531	-22.056232
947.460938	-21.452238
990.527344	-24.743425
1033.593750	-24.738924
1076.660156	-23.444412
1119.726562	-26.042822
1162.792969	-26.177588
1205.859375	-25.205740
1248.925781	-22.857553
1291.992188	-22.298777
1335.058594	-25.674667
1378.125000	-24.189920
1421.191406	-20.806889
1464.257812	-22.957163
1507.324219	-28.251797
1550.390625	-27.190107
1593.457031	-26.178211
1636.523438	-27.584505
1679.589844	-28.434847
1722.656250	-29.232489
1765.722656	-26.194498
1808.789062	-28.458626
1851.855469	-28.919626
1894.921875	-24.752239
1937.988281	-25.756266
1981.054688	-30.510647
2024.121094	-32.712887
2067.187500	-30.445723
2110.253906	-26.101383
2153.320312	-24.925644
2196.386719	-28.259117
2239.453125	-30.246672
2282.519531	-31.661394
2325.585938	-32.007965
2368.652344	-30.588646
2411.718750	-32.185051
2454.785156	-30.676880
2497.851562	-27.800714
2540.917969	-27.145321
2583.984375	-27.839067
2627.050781	-29.640797
2670.117188	-31.623207
2713.183594	-33.111099
2756.250000	-32.518341
2799.316406	-29.596865
2842.382812	-28.498457
2885.449219	-29.897745
2928.515625	-31.736279
2971.582031	-32.720062
3014.648438	-34.499512
3057.714844	-35.245407
3100.781250	-34.916416
3143.847656	-33.224380
3186.914062	-32.118595
3229.980469	-33.314377
3273.046875	-33.969841
3316.113281	-33.392494
3359.179688	-33.233166
3402.246094	-34.163960
3445.312500	-35.601673
3488.378906	-35.215149
3531.445312	-33.480488
3574.511719	-33.097740
3617.578125	-34.518002
3660.644531	-34.873219
3703.710938	-34.689289
3746.777344	-33.876251
3789.843750	-33.491993
3832.910156	-34.237801
3875.976562	-35.020348
3919.042969	-35.391682
3962.109375	-36.334381
4005.175781	-37.673519
4048.242188	-38.503170
4091.308594	-38.992737
4134.375000	-38.358067
4177.441406	-36.968922
4220.507812	-35.290924
4263.574219	-34.435867
4306.640625	-35.066502
4349.707031	-36.209114
4392.773438	-37.446930
4435.839844	-37.557514
4478.906250	-37.681530
4521.972656	-38.862717
4565.039062	-39.461464
4608.105469	-39.808041
4651.171875	-38.921272
4694.238281	-37.882603
4737.304688	-37.358067
4780.371094	-38.652039
4823.437500	-40.768475
4866.503906	-40.865601
4909.570312	-40.102314
4952.636719	-40.119259
4995.703125	-39.989567
5038.769531	-40.309887
5081.835938	-41.175186
5124.902344	-41.393669
5167.968750	-41.482239
5211.035156	-41.476334
5254.101562	-40.971802
5297.167969	-40.378510
5340.234375	-40.655613
5383.300781	-41.566677
5426.367188	-42.205624
5469.433594	-42.599892
5512.500000	-42.616016
5555.566406	-42.329876
5598.632812	-42.388256
5641.699219	-42.204903
5684.765625	-42.369106
5727.832031	-43.072563
5770.898438	-43.628750
5813.964844	-43.883564
5857.031250	-44.053253
5900.097656	-43.674271
5943.164062	-43.174004
5986.230469	-43.916534
6029.296875	-44.649086
6072.363281	-44.809650
6115.429688	-44.891926
6158.496094	-44.898460
6201.562500	-45.087883
6244.628906	-45.177563
6287.695312	-44.881672
6330.761719	-44.799603
6373.828125	-44.923454
6416.894531	-44.989002
6459.960938	-45.718468
6503.027344	-46.052021
6546.093750	-46.067455
6589.160156	-46.257961
6632.226562	-46.077713
6675.292969	-46.660965
6718.359375	-47.563965
6761.425781	-48.133930
6804.492188	-48.503895
6847.558594	-48.704895
6890.625000	-49.180099
6933.691406	-49.774639
6976.757812	-49.979897
7019.824219	-49.807774
7062.890625	-49.349121
7105.957031	-48.699368
7149.023438	-48.805485
7192.089844	-49.986393
7235.156250	-50.548630
7278.222656	-50.793274
7321.289062	-51.013500
7364.355469	-50.975040
7407.421875	-51.062538
