Frequency (Hz)	Level (dB)
43.066406	-19.648518
86.132812	-13.696227
129.199219	-17.391634
172.265625	-20.690825
215.332031	-19.124229
258.398438	-20.413076
301.464844	-23.642723
344.531250	-25.310444
387.597656	-22.905407
430.664062	-20.878067
473.730469	-22.016809
516.796875	-21.322758
559.863281	-22.512524
602.929688	-22.929308
645.996094	-23.136600
689.062500	-23.927555
732.128906	-27.237598
775.195312	-25.526134
818.261719	-27.179388
861.328125	-26.846607
904.394531	-27.910477
947.460938	-30.528997
990.527344	-31.241592
1033.593750	-26.060272
1076.660156	-26.992241
1119.726562	-30.322384
1162.792969	-26.881639
1205.859375	-26.578892
1248.925781	-26.823578
1291.992188	-25.718054
1335.058594	-26.825933
1378.125000	-27.084299
1421.191406	-27.675409
1464.257812	-30.260193
1507.324219	-29.777250
1550.390625	-27.645712
1593.457031	-28.795357
1636.523438	-34.560097
1679.589844	-34.050617
1722.656250	-29.620638
1765.722656	-26.773153
1808.789062	-28.924095
1851.855469	-30.341961
1894.921875	-30.600708
1937.988281	-30.890587
1981.054688	-31.019106
2024.121094	-31.637875
2067.187500	-29.296629
2110.253906	-27.661039
2153.320312	-30.641499
2196.386719	-32.581364
2239.453125	-33.747055
2282.519531	-32.000721
2325.585938	-27.928545
2368.652344	-26.948822
2411.718750	-30.598186
2454.785156	-33.159641
2497.851562	-32.455753
2540.917969	-31.677608
2583.984375	-30.167442
2627.050781	-29.373030
2670.117188	-30.594883
2713.183594	-31.774725
2756.250000	-31.070799
2799.316406	-29.206049
2842.382812	-27.984095
2885.449219	-28.267178
2928.515625	-29.391356
2971.582031	-30.370512
3014.648438	-31.746431
3057.714844	-32.121647
3100.781250	-31.649260
3143.847656	-30.735933
3186.914062	-31.344561
3229.980469	-32.839588
3273.046875	-32.535942
3316.113281	-31.871857
3359.179688	-31.465210
3402.246094	-31.426857
3445.312500	-31.059784
3488.378906	-30.043058
3531.445312	-29.777464
3574.511719	-30.761889
3617.578125	-31.632210
3660.644531	-31.916965
3703.710938	-32.211647
3746.777344	-32.438854
3789.843750	-33.384727
3832.910156	-34.639343
3875.976562	-35.097870
3919.042969	-34.647320
3962.109375	-34.626923
4005.175781	-35.261200
4048.242188	-36.045391
4091.308594	-35.814606
4134.375000	-35.847900
4177.441406	-35.761112
4220.507812	-35.281933
4263.574219	-34.958652
4306.640625	-34.515202
4349.707031	-34.807884
4392.773438	-35.175629
4435.839844	-35.694305
4478.906250	-36.215214
4521.972656	-36.742588
4565.039062	-37.149479
4608.105469	-37.103184
4651.171875	-36.690365
4694.238281	-36.468906
4737.304688	-36.719097
4780.371094	-37.407364
4823.437500	-38.126343
4866.503906	-39.242268
4909.570312	-40.225006
4952.636719	-40.244099
4995.703125	-40.180950
5038.769531	-40.315464
5081.835938	-40.550533
5124.902344	-40.474716
5167.968750	-40.248966
5211.035156	-39.764675
5254.101562	-39.113983
5297.167969	-37.772354
5340.234375	-36.039963
5383.300781	-36.167870
5426.367188	-37.258133
5469.433594	-37.313667
5512.500000	-37.355610
5555.566406	-37.300411
5598.632812	-36.761318
5641.699219	-36.258068
5684.765625	-36.619644
5727.832031	-37.240170
5770.898438	-37.326660
5813.964844	-37.152588
5857.031250	-37.300648
5900.097656	-37.709221
5943.164062	-38.014408
5986.230469	-38.023026
6029.296875	-37.945507
6072.363281	-37.935123
6115.429688	-38.000435
6158.496094	-37.792248
6201.562500	-38.192833
6244.628906	-39.128841
6287.695312	-39.719341
6330.761719	-39.863838
6373.828125	-39.880135
6416.894531	-39.742321
6459.960938	-39.720276
6503.027344	-40.167206
6546.093750	-40.533203
6589.160156	-40.725327
6632.226562	-41.226624
6675.292969	-41.733879
6718.359375	-41.787262
6761.425781	-41.811260
6804.492188	-42.240768
6847.558594	-43.197399
6890.625000	-43.716053
6933.691406	-43.760292
6976.757812	-43.764481
7019.824219	-44.059898
7062.890625	-43.626469
7105.957031	-42.910683
7149.023438	-44.332794
7192.089844	-45.536659
7235.156250	-45.720764
7278.222656	-45.678017
7321.289062	-45.854866
7364.355469	-45.982025
7407.421875	-46.313061
7450.488281	-46.854652
7493.554688	-47.596851
7536.621094	-48.456738
7579.687500	-48.903900
7622.753906	-49.166565
7665.820312	-49.732609
7708.886719	-50.265205
7751.953125	-50.222954
7795.019531	-50.671513
7838.085938	-51.138493
7881.152344	-51.257923
7924.218750	-51.299809
7967.285156	-51.590187
8010.351562	-52.002586
8053.417969	-52.743771
8096.484375	-53.275043
8139.550781	-53.610611
8182.617188	-53.935989
8225.683594	-54.621899
8268.750000	-55.146156
8311.816406	-55.947304
8354.882812	-56.769806
8397.949219	-57.581593
8441.015625	-57.902634
8484.082031	-58.177162
8527.148438	-59.451103
8570.214844	-60.752769
8613.281250	-61.520771
8656.347656	-61.873749
8699.414062	-62.422813
8742.480469	-62.941776
8785.546875	-63.179962
8828.613281	-62.810005
8871.679688	-61.569691
8914.746094	-62.431667
8957.812500	-65.245689
9000.878906	-66.638435
9043.945312	-66.929771
9087.011719	-67.628876
9130.078125	-69.249207
9173.144531	-69.971527
9216.210938	-69.867195
9259.277344	-69.963478
9302.343750	-70.824539
9345.410156	-71.589066
9388.476562	-72.216026
9431.542969	-72.796310
9474.609375	-72.894272
9517.675781	-73.119881
9560.742188	-73.160698
9603.808594	-73.647423
9646.875000	-74.296135
9689.941406	-74.446625
9733.007812	-74.475197
9776.074219	-74.141296
9819.140625	-74.205017
9862.207031	-74.935951
9905.273438	-75.515808
9948.339844	-75.997162
9991.406250	-76.697937
10034.472656	-76.881523
10077.539062	-76.120262
10120.605469	-75.403114
10163.671875	-75.661392
10206.738281	-75.529091
10249.804688	-75.353706
10292.871094	-75.302727
10335.937500	-75.462410
10379.003906	-75.730690
10422.070312	-75.817673
10465.136719	-75.751900
10508.203125	-75.946999
10551.269531	-76.023209
10594.335938	-75.948509
10637.402344	-75.850815
10680.468750	-75.978516
10723.535156	-76.355553
10766.601562	-77.091530
10809.667969	-77.495689
10852.734375	-77.882355
10895.800781	-78.863548
10938.867188	-79.902832
10981.933594	-80.711639
11025.000000	-81.893524
11068.066406	-82.766991
11111.132812	-83.013641
11154.199219	-83.227074
11197.265625	-83.560020
11240.332031	-84.638313
11283.398438	-87.021446
11326.464844	-90.461357
11369.531250	-91.395988
11412.597656	-94.187012
11455.664062	-96.314629
11498.730469	-97.239006
11541.796875	-99.307076
11584.863281	-101.180656
11627.929688	-104.198624
11670.996094	-107.609787
11714.062500	-109.528725
11757.128906	-110.416664
11800.195312	-111.878242
11843.261719	-113.635269
11886.328125	-115.665756
11929.394531	-116.403442
11972.460938	-116.316780
12015.527344	-116.724670
12058.593750	-117.231659
12101.660156	-117.003273
12144.726562	-116.408836
12187.792969	-116.310127
12230.859375	-116.991302
12273.925781	-116.899956
12316.992188	-116.324341
12360.058594	-116.374100
12403.125000	-116.309341
12446.191406	-116.001671
