Frequency (Hz)	Level (dB)
43.066406	-19.333529
86.132812	-13.427464
129.199219	-17.180235
172.265625	-20.536419
215.332031	-19.049316
258.398438	-20.308645
301.464844	-23.416885
344.531250	-24.983088
387.597656	-22.691378
430.664062	-20.912350
473.730469	-22.168064
516.796875	-21.669334
559.863281	-22.620640
602.929688	-22.741823
645.996094	-22.752916
689.062500	-23.642296
732.128906	-27.007444
775.195312	-25.138926
818.261719	-26.812668
861.328125	-26.501057
904.394531	-27.779072
947.460938	-30.649529
990.527344	-31.191422
1033.593750	-26.047127
1076.660156	-27.002607
1119.726562	-30.247717
1162.792969	-26.815088
1205.859375	-26.509199
1248.925781	-26.525400
1291.992188	-25.328547
1335.058594	-26.457863
1378.125000	-26.620605
1421.191406	-27.157440
1464.257812	-29.825626
1507.324219	-29.358492
1550.390625	-27.288317
1593.457031	-28.505394
1636.523438	-34.358913
1679.589844	-33.865887
1722.656250	-29.430126
1765.722656	-26.569471
1808.789062	-28.773335
1851.855469	-30.289993
1894.921875	-30.561546
1937.988281	-30.737823
1981.054688	-30.694016
2024.121094	-31.203981
2067.187500	-28.893929
2110.253906	-27.360146
2153.320312	-30.354025
2196.386719	-32.181332
2239.453125	-33.390766
2282.519531	-32.093220
2325.585938	-27.980036
2368.652344	-26.726187
2411.718750	-30.292797
2454.785156	-32.845917
2497.851562	-32.240292
2540.917969	-31.507357
2583.984375	-30.016081
2627.050781	-29.265274
2670.117188	-30.484077
2713.183594	-31.571947
2756.250000	-30.789804
2799.316406	-28.916834
2842.382812	-27.714161
2885.449219	-28.014908
2928.515625	-29.178379
2971.582031	-30.137638
3014.648438	-31.532383
3057.714844	-31.888548
3100.781250	-31.387430
3143.847656	-30.551218
3186.914062	-31.224571
3229.980469	-32.611767
3273.046875	-32.292599
3316.113281	-31.629595
3359.179688	-31.226450
3402.246094	-31.132635
3445.312500	-30.736399
3488.378906	-29.872917
3531.445312	-29.773987
3574.511719	-30.758207
3617.578125	-31.453096
3660.644531	-31.676298
3703.710938	-31.989723
3746.777344	-32.196022
3789.843750	-33.118649
3832.910156	-34.314949
3875.976562	-34.685215
3919.042969	-34.173298
3962.109375	-34.131660
4005.175781	-34.822964
4048.242188	-35.591286
4091.308594	-35.312286
4134.375000	-35.347866
4177.441406	-35.257259
4220.507812	-34.815979
4263.574219	-34.638535
4306.640625	-34.198929
4349.707031	-34.414974
4392.773438	-34.819458
4435.839844	-35.370823
4478.906250	-35.792725
4521.972656	-36.333004
4565.039062	-36.758858
4608.105469	-36.681652
4651.171875	-36.257965
4694.238281	-36.005424
4737.304688	-36.106945
4780.371094	-36.638138
4823.437500	-37.287777
4866.503906	-38.403965
4909.570312	-39.404686
4952.636719	-39.458794
4995.703125	-39.423985
5038.769531	-39.643497
5081.835938	-39.859329
5124.902344	-39.768723
5167.968750	-39.451149
5211.035156	-38.907780
5254.101562	-38.177513
5297.167969	-36.721962
5340.234375	-34.934174
5383.300781	-35.059460
5426.367188	-36.102474
5469.433594	-36.379856
5512.500000	-36.709881
5555.566406	-36.706421
5598.632812	-36.162861
5641.699219	-35.831455
5684.765625	-36.155579
5727.832031	-36.542007
5770.898438	-36.378174
5813.964844	-36.113567
5857.031250	-36.319599
5900.097656	-36.804150
5943.164062	-37.257431
5986.230469	-37.705898
6029.296875	-37.986988
6072.363281	-38.023094
6115.429688	-38.059216
6158.496094	-37.873283
6201.562500	-38.634167
6244.628906	-40.648319
6287.695312	-41.876141
6330.761719	-41.979244
6373.828125	-41.969818
6416.894531	-41.787941
6459.960938	-40.842770
6503.027344	-39.853966
6546.093750	-39.778912
6589.160156	-39.980408
6632.226562	-40.491230
6675.292969	-41.034874
6718.359375	-40.788788
6761.425781	-40.348030
6804.492188	-40.660637
6847.558594	-41.723667
6890.625000	-42.176880
6933.691406	-42.172676
6976.757812	-42.333679
7019.824219	-42.780945
7062.890625	-42.319561
7105.957031	-41.597820
7149.023438	-42.967052
7192.089844	-43.888184
7235.156250	-43.674213
7278.222656	-43.308701
7321.289062	-43.247673
